#url,#title,#options,#tag,,OXdone
,g0v第陸拾肆次黃金比例黑客松共筆,,,,
,,,,,
https://g0v.hackmd.io/@jothon/HJXRuIQxyl,"2024/11/23 09:00 活動資訊 Event Info",,行前準備:important,,done
http://g0v-jothon.kktix.cc/events/g0v-hackath64n,"報名網址 Registration",,"10/25 正午開始:warning",,done
https://docs.google.com/document/d/1ZyUD7BF0z15pLaSEP0hHez1d9T95LlVNNVXdMhWioEY/edit?tab=t.0,"資金池徵件計畫 Funding Plan",,"11/1 開始:warning",,
,,,,,
,,,,,
https://g0v.hackmd.io/@jothon/-g0v-Community-Hangout-40th,"松前哈拉 Pre-hackathon community hangout",,"green 來聊聊吧",,
https://g0v.hackmd.io/s/COC,"與會守則 Code of conduct",,行前請讀,,done
,,,,,
,"提案流程 Propose your idea","{""expand"":true}",,,
https://docs.google.com/spreadsheets/d/1rtqJHmMlrIYSm3let_yYYXKQpHpazDY5ImoJWLDY6FU,"要提案！看提案！ Sign up for a 3-min pitch here",,提案在這登記:warning,,
https://g0v.hackmd.io/@jothon/rym3Kgb3d,"簡報計時器 Pitch Timer",,,,done
,,,,,
,"線上聊天室 Online Chat ","{""expand"":true}",,,
"http://join.g0v.tw ","slack 聊天室 Slack channel",,"pink 同步 irc","pink red green blue",
https://kiwiirc.com/client/irc.freenode.net/#g0v.tw,"IRC 聊天室 IRC channel",,"blue 即時聊天",,done
,,,,,
,"黑客松初心者 Newcomer","{""expand"":true}",,,
https://g0v.hackmd.io/@jothon/rJrowlWn_,"g0v新手教學影片 Newcomer Intro",,,,done
https://g0v.hackmd.io/@jothon/ryDSnNiYO,"新手任務小紙條 First-timer checklist",,,,done
,,,,,
,"空白模版 Blank Templates","{""expand"":false}",,,
" https://g0v.hackpad.tw/Project-Readme-aCZGg48I5pX","專案介紹空白模版 Project README",,常用:important,,done
https://g0v.github.io/grants-landing-template/,"產品入口頁空白模版 Project landing page",,,,done
" https://g0v.hackpad.tw/dwimzocKjEL","免責聲明模版 Disclaimer",,,,done
https://docs.google.com/document/d/1ZyUD7BF0z15pLaSEP0hHez1d9T95LlVNNVXdMhWioEY/edit?tab=t.0#heading=h.4k0q8f2japog,"資金池徵件計畫 Funding Plan",,,,
https://docs.google.com/document/d/1ZyUD7BF0z15pLaSEP0hHez1d9T95LlVNNVXdMhWioEY/edit?tab=t.0#heading=h.4k0q8f2japog,"資金池徵件計畫 Funding Plan",,,,
