#url,#title,#options,#tag,,OXdone
,"g0v第陸拾壹次龍來 Open Data Day 黑客松暨零時小學校 4th 專案孵化競賽決選日共筆",,,,
,,,,,
https://g0v.hackmd.io/@jothon/B1DqSeaK6,"2024/03/02 09:00 活動資訊 Event Info",,行前準備:important,,done
http://g0v-jothon.kktix.cc/events/g0v-hackath61n,"報名網址 Registration",,"01/29 正午開始:warning",,done
,,,,,
https://g0v.hackmd.io/@jothon/SkC7oeTYT,"活動流程 Run-down",,,,
,,,,,
https://g0v.hackmd.io/@jothon/-g0v-Community-Hangout-37th,"松前哈拉 Pre-hackathon community hangout",,"green 來聊聊吧",,
https://g0v.hackmd.io/@jothon/HJ9gfA_zT,"零時小學校 4th 專案孵化競賽｜決選",,,,
https://g0v.hackmd.io/s/COC,"與會守則 Code of conduct",,行前請讀,,done
,,,,,
,"提案流程 Propose your idea","{""expand"":true}",,,
https://docs.google.com/spreadsheets/d/1zGQJstlp7kU8_OTklxMs5zA_eI_5NwDgJ8h8ospW9MA,"要提案！看提案！ Sign up for a 3-min pitch here",,提案在這登記:warning,,
https://docs.google.com/spreadsheets/d/1zGQJstlp7kU8_OTklxMs5zA_eI_5NwDgJ8h8ospW9MA/edit#gid=3,"場地平面圖 Project Map",,,,
https://g0v.hackmd.io/@jothon/rym3Kgb3d,"簡報計時器 Pitch Timer",,,,done
,,,,,
,"線上聊天室 Online Chat ","{""expand"":true}",,,
"http://join.g0v.tw ","slack 聊天室 Slack channel",,"pink 同步 irc","pink red green blue",
https://kiwiirc.com/client/irc.freenode.net/#g0v.tw,"IRC 聊天室 IRC channel",,"blue 即時聊天",,done
,,,,,
,"黑客松初心者 Newcomer","{""expand"":true}",,,
https://g0v.hackmd.io/@jothon/rJrowlWn_,"g0v新手教學影片 Newcomer Intro",,,,done
https://docs.google.com/document/d/1PHYvQ9r2kmGnGKK4_Yqh1Y-yXx61p78r21Rz2e41oPA/edit?usp=sharing,"新手任務小紙條 First-timer checklist",,,,done
https://docs.google.com/spreadsheets/d/1Ft76ELCvY_YxdlF7JECqYcChx6EOH7D3j6DcSvjNPL8/edit?usp=sharing,"辦大松 SOP Hackathon SOP",,,,
,"空白模版 Blank Templates","{""expand"":false}",,,
" https://g0v.hackpad.tw/Project-Readme-aCZGg48I5pX","專案介紹空白模版 Project README",,常用:important,,done
https://g0v.github.io/grants-landing-template/,"產品入口頁空白模版 Project landing page",,,,done
" https://g0v.hackpad.tw/dwimzocKjEL","免責聲明模版 Disclaimer",,,,done
