#url,#title,#options,#tag,,OXdone
,g0v第參拾壹次香蕉吃到飽松共筆,,,,
,,,,,
https://g0v.hackpad.tw/bWAEVX5CiIV,"2018/07/07 09:00 活動資訊",,行前準備:important,,done
http://g0v-jothon.kktix.cc/events/g0v-hackath31n,報名網址,,"06/25 正午開始:warning",,done
https://kiwiirc.com/client/irc.freenode.net/#g0v.tw,"IRC 聊天室",,"blue 即時聊天",,done
http://join.g0v.today,"Slack 聊天室",,"pink 同步 irc","pink red green blue",
https://g0v.hackpad.tw/2mprMIpYMz9,"與會守則 COC",,行前請讀,,done
,提案流程,"{""expand"":true}",,,
https://docs.google.com/spreadsheets/d/1zDQQXTsGU8Y_ViE9ewNjuoKZAyJNSGQ7M_J19666_2c/edit,要提案！看提案！,,提案在這登記:warning,,
http://zbryikt.github.io/quick-timer/,簡報計時器,,,,done
,黑客松初心者,"{""expand"":true}",,,
https://docs.google.com/presentation/d/1-9IB0ozOOHKT69pNDX05rmGVETQWFb8G0xoamt-iO1g/edit?usp=sharing,新手教學投影片,,,,done
https://docs.google.com/document/d/1zBIhj7MX6jUWrNkDW15_XsLsUjihclgx0rmSLtww9F8/edit,新手任務小紙條,,,,done
,給個秘訣,"{""expand"":false}",,,
" https://g0v.hackpad.tw/Project-Readme-aCZGg48I5pX",專案介紹空白模版,,常用:important,,done
https://g0v.github.io/grants-landing-template/,產品入口頁空白模版,,,,done
" https://g0v.hackpad.tw/dwimzocKjEL",免責聲明模版,,,,done
https://middle2.com/,"公民開放伺服器 Middle2 中二",,,,done
