#url,#title,#options,#tag,,OXdone
,"g0v第伍拾參次 18 歲公民權黑客松共筆",,,,
,,,,,
https://g0v.hackmd.io/@jothon/Hynfy0OBj,"2022/12/17 09:30 活動資訊 Event Info",,行前準備:important,,done
http://g0v-jothon.kktix.cc/events/g0v-hackath53n,"報名網址 Registration",,"11/14 正午開始:warning",,done
,,,,,
https://g0v.hackmd.io/@jothon/SkGkW0dHi,"活動流程 Run-down",,,,
,,,,,
https://g0v.hackmd.io/@jothon/-g0v-Community-Hangout-29th,"松前哈拉 Pre-hackathon community hangout",,"green 來聊聊吧",,
https://g0v.hackmd.io/@ichieh/Byhnsjh8j,"AI 製圖坑",,,,
https://g0v.hackmd.io/@jothon/HylrgbE7Li,零時小學校專案孵化競賽｜【初選入圍團隊】提案優化工作坊,,,,
https://g0v.hackmd.io/s/COC,"與會守則 Code of conduct",,行前請讀,,done
,,,,,
,"提案流程 Propose your idea","{""expand"":true}",,,
https://bit.ly/3Efk8bX,"要提案！看提案！ Sign up for a 3-min pitch here",,提案在這登記:warning,,
https://g0v.hackmd.io/@jothon/rym3Kgb3d,"簡報計時器 Pitch Timer",,,,done
,,,,,
,"線上聊天室 Online Chat ","{""expand"":true}",,,
"http://join.g0v.tw ","slack 聊天室 Slack channel",,"pink 同步 irc","pink red green blue",
https://kiwiirc.com/client/irc.freenode.net/#g0v.tw,"IRC 聊天室 IRC channel",,"blue 即時聊天",,done
,,,,,
,"黑客松初心者 Newcomer","{""expand"":true}",,,
https://g0v.hackmd.io/@jothon/rJrowlWn_,"g0v新手教學影片 Newcomer Intro",,,,done
https://g0v.hackmd.io/@jothon/ryDSnNiYO,"新手任務小紙條 First-timer checklist",,,,done
https://docs.google.com/spreadsheets/d/1hor7BPyyqgp7hAvVFRnCbMYBHznM7_3vq2BuS7vsyac/edit?usp=sharing,"辦大松 SOP Hackathon SOP",,,,
,"空白模版 Blank Templates","{""expand"":false}",,,
" https://g0v.hackpad.tw/Project-Readme-aCZGg48I5pX","專案介紹空白模版 Project README",,常用:important,,done
https://g0v.github.io/grants-landing-template/,"產品入口頁空白模版 Project landing page",,,,done
" https://g0v.hackpad.tw/dwimzocKjEL","免責聲明模版 Disclaimer",,,,done
