,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
12/20 09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,
直播網址,,,https://plus.google.com/hangouts/_/g3eelsrzmsepp2krdbipgstq2ea,,,,,,,,,
1,9:40,v,georgelin,yes,開放食庫之有7-11真好,,https://github.com/georgelin422/FoodScanner,7-11 開放食庫 食安,"熱血資料搜集手, UI介面設計, 營養學背景, 法律背景",https://www.youtube.com/watch?v=4YHAry6Q4Ow&index=1&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_,,https://docs.google.com/presentation/d/1tw8yaH9Ts_ms6HWclM2WmRkCrYH75iehD6JRPowGW2Y/edit?usp=sharing
2,9:46,v,tkirby,yes,互動問答式數位專輯,CC-BY-SA,http://github.com/zbryikt/qa/,"新聞,g0v","插畫,文字工作者,視覺設計師",https://www.youtube.com/watch?v=aqkMDcO2OeI&index=3&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_,,
3,9:49,v,chewei,yes,木材追追追－Sarawak to Taiwan,CC BY,https://g0v.hackpad.com/Sarawak-to-Taiwan-oqsXADzMrp8,"馬來西亞砂勞越林業, 財政部關務署進出口資料, 跨國合作","報關專業, 林產業人員, 馬來西亞語言",https://www.youtube.com/watch?v=aqkMDcO2OeI&index=3&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_,,http://www.slideshare.net/MikLiu/20141220-sarawak-to-taiwan
4,9:52,v,林俊秀,yes,參加2015香港舉辦的兩岸三地黑客松競賽,,https://g0v.hackpad.com/qDGr2yDRCuz#2015,2015香港兩岸三地黑客松競賽,後續承接人員,https://www.youtube.com/watch?v=kmUBC6iZBU8&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_&index=5,,
5,9:55,v,吳長鋼,yes,貪汙查詢網站,CC BY,https://g0v.hackpad.com/--OoaenzjVDKK,貪汙  開放  監督,前端   後端  文本處理,https://www.youtube.com/watch?v=u2GePGpCbAE&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_&index=6,,http://www.slideshare.net/nt90561/g0v-42800649
6,9:58,v,Arny,yes,影子政府,CC BY,https://g0v.hackpad.com/39pf0Milpkz,勞工,前端   後端  資料庫分析,https://www.youtube.com/watch?v=eTMMnmnjF_0&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_&index=7,,
7,10:01,v,YuTin,yes,雨還沒停 - 字幕組與公視農場,CC BY,,,打字專長．資訊背景,https://www.youtube.com/watch?v=4JooRhy4EoU&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_&index=8,,
8,10:04,v,蓮霧+胖胖,yes,開放藥典,,https://hackpad.com/--qNuCNFrcwnm,藥典、查藥、說明書,醫、藥；IT；設計等各路好手,https://www.youtube.com/watch?v=L0Vm5k3DIj0&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_&index=9,,
9,10:07,v,子龍,yes,第零次設計松籌備,CC0,https://g0v.hackpad.com/0qqoIcDMCLJ,設計、小松、跨界,辦過大小松的經驗者,https://www.youtube.com/watch?v=7mIdt_r-QNI&index=10&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_,,
10,10:10,v,Michael_LI,yes,新聞後面．觀眾留言的存檔（爬蟲機器人）,,https://www.flickr.com/photos/_michael_li_/sets/72157649825519072/,全民除黴計畫、新聞松、社會學,軟體工程師，記者工程師，社會人類新聞系工程師,https://www.youtube.com/watch?v=eQa1edOwPtA&index=11&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_,,
11,10:13,v,恰恰,yes,輻射地圖APP,CC BY,https://g0v.hackpad.com/91ZImrFjGvx,核災、輻射、輻射地圖,iOS App  Android APP工程師,https://www.youtube.com/watch?v=PYC3AWXIpp4&index=12&list=PLdwQWxpS513Aqt0pAcF-SNUbZbRp_odC_,,
