活動前準備流程表,,,,,,,,
時間／分組（人數）,,揪松,"食物（2 人）
grass","主持（5 人）
ael、vTaiwan","報到（3 人）
ael、stella","場務（2人）
sean、ichieh","直播（1 人）
tmonk","錄影（1 人）
"
大松前一個月,,開啟命名共筆,,,,,,
大松前三周的周五,,一鍵開大松,,,,,,
大松前兩周的周一 9:00,,寄出電子報,,,,,,
大松前兩周的周一 12:00,,kktix 開始售票,與廠商訂食物,,,,,
大松前兩周的周五,,貢獻者票申請開始,,,,,,
大松前一周的周五,,貢獻者票申請截止,,,,,,
大松前的周一,,寄出貢獻者票,,,,,,
大松前的周三,,行前通知寄出,,,,,,
大松前一天 21:00,,,,"松前哈拉（宣傳、共筆）
ael",,,,
大松當日流程,,,,,,,,
時段／注意事項,大松活動timeline,確認流程,當日擺盤順序,串場,隨時都要有人在,場佈、撤場,可告知網路規格,可告知網路規格
8:40 - 9:00,,,,,,搬桌椅、擺設,,
9:00 - 9:20,報到,,,,,,,
9:20 - 9:40 ,新手教學,,,"新手教學（預錄影片）
",,,,
9:40 - 10:00,"開場（9:40-9:50）

三分鐘提案
（9:50-11:00）",,"早餐時段
9:30 - 11:00","開場、提案主持（投影片）
",,,,
10:00 - 10:20,,,,,,,,
10:20 - 10:40,,,,,,,,
10:40 - 11:00,,,,,,,,
11:00 - 11:20,"自我介紹
（11:00-11:15）",,,請大家自我介紹,,,,
11:20 - 11:40,"分組開工
（11:15 - 17:00）",,"午餐時段
11:30 - 12:30

炸雞披薩上桌
12:00 - 12:30",,,,,
11:40 - 12:00,,,,,,,,
12:00 - 12:20,,,,,,,,
12:20 - 12:40,,,,,,,,
12:40 - 13:00,,,,"新手導覽團
13:00 - 13:30",,,,
13:00 - 13:20,,,,,,,,
13:20 - 13:40,,,,,,,,
13:40 - 14:00,,,,,,,,
14:00 - 14:20,,,午茶時段（放飽足感高的）,,,,,
14:20 - 14:40,"隨喜短講
14:30 - 15:30",,,"短講主持
",,,,
14:40 - 15:00,,,,,,,,
15:00 - 15:20,,,,,,,,
15:20 - 15:40,,,午茶時段（精緻小點）,,,,,
15:40 - 16:00,"分組開工
（11:15 - 17:00）",,,,,,,
16:00 - 16:20,,,,,,,,
16:20 - 16:40,,,,,,,,
16:40 - 17:00,,,,,,,,
17:00 - 17:20,成果發表,寄出會後問卷（typeform）,,"成果主持
",,,,
17:20 - 17:40,,,廠商回收,,,,,
17:40 - 18:00,,,,,,,,
