,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,9:40,,2個月前的 MrOrz,Y,Cofacts 真的假的,Code: MIT / Data: CC0,beta.hackfoldr.org/cofacts,cofacts.g0v.tw,"Fact-checking, crowd-sourcing, chatbot","編輯：會上網查證的人
程式：Node.JS, React.JS
玩資料：elasticsearch
設計：UX、Cofacts 網站使用者",https://youtu.be/8AIass_ImOA?t=41s,,https://docs.google.com/presentation/d/1AScoEKc6J8R3qiNRhXC1POLIBMX-dbgCECgnUxvpeaw/edit#slide=id.p
2,9:43,,嘉豪(Kahou),,運輸．共享,,,,"共乘, 順風車, 環保",工程師、設計師、企劃、行銷,,,https://goo.gl/Xp7HAK
3,9:46,,,,,,,,,,,,https://docs.google.com/presentation/d/1jJ9znpyXO6ZSYNo7xdx1rIvvrij3dTszO38N-TFh6Q4/edit?usp=sharing
4,9:49,,,,,,,,,,,,
5,9:52,,Su-su,,薪資與租屋居住品質關聯調查,CC0,https://g0v.hackpad.tw/hZwt2iPr78w,,,,,,
6,9:55,,小蟹,是,阿美語萌典,CC0,https://github.com/g0v/amis-moedict,https://amis.moedict.tw,阿美語、台灣原住民語與南島語、台灣原住民族文化,後端工程師、前端工程師、有興趣的人,,,https://docs.google.com/presentation/d/1jJ9znpyXO6ZSYNo7xdx1rIvvrij3dTszO38N-TFh6Q4/edit?usp=sharing
7,9:58,,YuTin,Y,Say Hi !!! g0ver,CC0,https://github.com/g0v/g0ver-box,,,,,,
8,10:01,,chihao,,自己emoji自己造之二,CC BY,https://g0v.hackpad.tw/make-taiwan-emoji,,"emoji, taiwan, 軟實力",插畫家、平面設計師、文化工作者,,,
9,10:04,,Ally,Y,數位考古:未來歷史學,Code: MIT / Data: CC0,https://g0v.hackpad.tw/zg2QPaKbWgP,,歷史、典藏,爬蟲人、工程師、有興趣的人,,,https://docs.google.com/presentation/d/1gC23KNeFwiwNGkmgZSoir2-8aFAF11QaJF1LmnLTWxY/edit?usp=sharing
10,10:07,,Brian,,How Well Do You Know About China?,,,,,,,,
