 ,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
09:40【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,
,,,poga,,零時政府 雲端公文整合資訊系統,CC-BY,,,,http://youtu.be/Y3xL6CH7r6E,,
,,,poga,,G0V Levelup Bingo,CC-BY,,,,http://youtu.be/PIrQ9tIBHnk,,
,9:30,√,clkao,ok,開場,CC-BY,,,,http://youtu.be/bzZDt8JOHzA,,
1,9:40,√,pm5,ok,立法院開放資料平台7倍速動能推昇方案,CC BY,https://g0v.hackpad.com/Sjnb19uV8od,立法院、開放資料、文件協作,,http://youtu.be/_lqDSiU8S8,,
2,9:43,√,Kai,ok,選票與代議士,MIT,,資料、分析、需求,"App, 企畫,前端",http://youtu.be/U-MlY5U7lE,,
3,9:46,√,shuhua,ok,島嶼天光學潮實紀錄,MIT,http://hack.g0v.tw/sunflowerDocumentary/07KBjWEFS,學運、整理、資料,前端、後端、資料庫,http://youtu.be/79yRnOZwXjY,,
4,9:49,√,Ronny,ok,北市豪宅通,MIT,http://ronnywang.pixnet.net/blog/post/3105893,"開放空間,容積獎勵,豪宅","App, 企畫",http://youtu.be/Pu8Q5jD4nFM,,
5,9:52,√,Ronny,ok,開放政治獻金,MIT,"http://ronnywang.pixnet.net/album/set/14924844
http://campaign-finance.g0v.ronny.tw/","政治獻金,群眾外包,人工OCR",,http://youtu.be/Pu8Q5jD4nFM,,
6,9:55,√,Isabel,ok,打道掛 123 護台灣,MIT/ CC0,123.g0v.today,議題  訴求模板  施壓對象,議題統籌 留言板管理  txt,http://youtu.be/Gm-cpo-HWHI,,
7,9:58,√,clkao,ok,連續坑 (待整理）,MIT,,TBD,,http://youtu.be/iHiVbmDTGcI,,
8,10:01,√,ipa,ok,直播導播台,,https://g0v.hackpad.com/VVlHNqKaQrC,,,http://youtu.be/ZGFepQB9ks,,
9,10:04,√,(有誰可以幫我廣告 XD 沒人的話就刪掉吧 =w=),ok,公民運動後勤表單、SOP,CC0,http://hackfoldr.org/congressnetwork/Q2ZQHLxhkK,線路、直播、文播、物資,參加過線路松的人,,,
10,10:07,√,hbtsai,ok,太陽花盒子,MIT,https://g0v.hackpad.com/Fr9H7GPcUM,直播、內容推送、理髮院,玩過 embed 熟 Linux,http://youtu.be/MaFV-AiS64,,
11,10:10,√,ttcat,,廢核連署平台,,https://g0v.hackpad.com/v15A2Oaw5JF,,,http://youtu.be/Uu0X2_fn3A,,
12,10:13,√,johnny,ok,立委投票指南、議員投票指南、工會發起指南,CC0,http://goo.gl/C6HIF,,,http://youtu.be/-up85JYg4JE,,
13,10:16,√,NewCliCker,ok,第五權電視牆監看「評」台g8v.tv,以Open Source為主，哪種授權由參與者們討論決定,https://g0v.hackpad.com/g8v.tv-lkpamtKwyr,實況直/轉播電視牆、公民記者影音平台、電視新聞小幫手,專長不限，有興趣都歡迎加入,http://youtu.be/ctXavsk6Fg,,
14,10:19,√,Shanzay/Airos,ok,g0v 2014 summit主視覺進度報告/填坑遊戲提案徵求,,https://g0v.hackpad.com/g0v-summit-2014--S98dMyXUUR,summit、填坑、視覺需求,活動製作物廠商；遊戲設計,http://youtu.be/q98ZVgIVXg,,
15,10:22,√,a0kman,ok,超農域,,http://hack.g0v.tw/agricuture/8Hlh2hux8xg,農業、農藥、疫情,前端、美工,http://youtu.be/14B2KB63w8,,
16,10:25,√,Michael_LI,ok,服貿專題網,CC BY／MIT,http://hack.g0v.tw/CSTACO,整理、資料、分析總體面貌,專長不限、TXT文字、程式皆可,http://youtu.be/zv7IUFa0fM,,https://docs.google.com/spreadsheet/ccc?key=0AjGJ4qvz2D3EdGdfZFZXanhwdUp2dWxSTjRBLW9GYWc
