,,,seventysecond,y,勞動局資料登打,,,,,,,
8/23 14:00【8分鐘短講】,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,b,主題,,相關連結,三個關鍵字,專案徵人,,,
1,,,justin arenstein,,,,,,,,,
2,,,david eads,,,,,,,,,
3,,,"cedric
",,,,,,圖像化,,,
4,,,ronny,yes,解析政府組織,,https://g0v.hackpad.com/--QOPMtKMNnvZ,,,,,
5,,,,,,,,,,,,
,本期開放5位8分鐘,,,,,,,,,,,
,中場短講playlist,,https://www.youtube.com/playlist?list=PLdwQWxpS513CkU-YLRPcdv21IKC8KJm2v,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"8/23 16:05【資料科學 present project】 規則：於國際會議廳舉行
每個 present 3min （請於 15:30 R1 找 clkao 報到)",,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC BY 釋出?,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
1,16:10,V,Yuren Ju,Y,蘋果日報留言分析,MIT,http://tinyurl.com/ne5g72e,"新聞, 分析",,https://youtu.be/ZkaOMyxxoe8,,
2,16:13,V,Ronny,Y,判決書懶人包,MIT,http://judicial.ronny.tw/,,,,,
3,16:16,,,,,,,,,,,
4,16:19,,,,,,,,,,,
5,16:22,V,Michael_LI,y,這個社會的新聞樣貌：以八仙塵爆意外為起點,"有待確定
",https://drive.google.com/folderview?id=0B6ASgY1GMSOhfmdnbVlKMlNadjBfb3NPMnhGNkl5dUlQMnBMRnRxZk9henh6U0Rab0lJX3c&usp=sharing,,,,,
6,16:25,V,stella,y,治癒魔法,,"https://itunes.apple.com/app/id1021085374
https://play.google.com/store/apps/details?id=com.tin.blood

",,,,,
7,16:28,V,Liz Lin,y,愛台語iTaigi,,https://g0v.hackpad.com/moed7ct-taigi-neologism#,台語、查詢、好玩,影音製作、圖文製作、台語書寫,,,
8,16:31,V,mg lee,y,Data + Design 資料＋設計 正體中文版翻譯,CC BY-NC-SA 4.0（翻譯）/ CC BY 4.0 (文件),https://g0v.hackpad.com/Data-Design--l5qLhp0515j,,,,,
9,16:34,V,"soidid
",y,一句話父權大賽,MIT,https://github.com/soidid/event-post-rank,,,,,
10,16:37,V,MrOrz,y,2016總統大選一覽表,CC BY 4.0,http://beta.hackfoldr.org/president2016-folder,"政治承諾整理,地方政府研考會",新聞工作者/政治學者/社會學者 (承諾進度整理)、react.js,,,
11,16:40,V,chihao,y,眾志成城,GPL 2.0（程式碼）/ CC BY-SA 4.0（平台內容）,https://g0v.hackpad.com/jLVacJPjj5D,,,,,
12,16:43,V,miaoski,y,IoT 空污偵測,CC0 / MIT,https://g0v.hackpad.com/IoT-DIY-B1xkj9fUqqH,"空污, PM2.5",前端、維修,,,
13,16:46,V,miaoski,y,阿美語萌典,CC BY-NC,,"阿美語, 萌典",測試、資料編輯、PDF 處理,,,
14,16:49,V,"kevinphy
",y,BatDrone 婦幼犯罪熱點提醒、無人機巡航,CC BY 4.0,https://g0v.hackpad.com/BatDrone--BB8UPY6SPCD,"晚上、回家、無人機尾行
","前端設計、嵌入式、mobile app
",,,
15,16:52,V,RSChiang,y,SliGen,MIT,https://github.com/Inndy/sligen,"Buzzword,大數據",,,,
,,,往上填坑～,,,,,,,,,
