,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
2/14 09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,
直播網址,,,https://plus.google.com/hangouts/_/g3eelsrzmsepp2krdbipgstq2ea,,,,,,,,,
1,9:40,V,Gilbert,OK,政商關係圖,CC-BY,https://g0v.hackpad.com/hxJBK9v7frt,臺灣公司關係圖、政商關係、open data,,https://www.youtube.com/watch?v=5x98ffmYE24&index=1&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
,9:43,V,,,,,,,,,,
2,9:46,V,Kirby,OK,空難事件視覺化,CC-BY,https://g0v.hackpad.com/4o8ADZLQJfx,空難、新聞、視覺化,TXT,https://www.youtube.com/watch?v=qQoXQpxgfI0&index=2&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
3,9:49,V,茶李王,OK,抵制好朋友之即刻救援,,https://g0v.hackpad.com/KW83vzwiWhc,抵制、消費者賦權、打倒連鎖店振興經濟,程式設計師、視覺設計師,https://www.youtube.com/watch?v=C1vFuPBjUd8&index=3&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,http://goo.gl/n5OCkk
4,9:52,V,wenchuan, OK,來去宜蘭住一輩子,,https://g0v.hackpad.com/jAFuERTpDC5,宜蘭、鄉村發展、人,,https://www.youtube.com/watch?v=eqP9CN9LSl8&index=4&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
5,9:55,V,孫瑋孜 / xavier, OK,環境、污染與資訊之地理套疊,,https://g0v.hackpad.com/3IlRBxAKgVg,環境污染、檢測站資訊、地圖介面,程式設計師 視覺化,https://www.youtube.com/watch?v=DPxz3yKJcG4&index=5&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
6,9:58,V, 吳長鋼,ok,蚊子館地圖,"CC0 , MIT",http://wuchangkang.blogspot.tw/2014/01/app.html,蚊子館、土地、open data,"parse x1
後端 x1
資料輸入 數人",https://www.youtube.com/watch?v=BOP0KFevt5I&index=6&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,http://www.slideshare.net/littlekang1/g0v12th-app
7,10:01,V,Nicky 謝,ok,"「程序正義」之幸福提案
議題集中共享媒體網站",,http://bit.ly/1KV7dYP,程序正義、議事規則、立委選舉,,https://www.youtube.com/watch?v=ibgfp-JWkoQ&index=7&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
8,10:04,V,Michael_LI,OK,"全民除黴計畫（新聞啄木鳥APP）
＆
其他專案",MIT,"全民除黴計畫（新聞啄木鳥APP）
　　http://beta.hackfoldr.org/app4am/
全能拆掉改造王
　　https://g0v.hackpad.com/-g0v--rEzVnbqCZrz
民瓊林計畫
　　http://bit.ly/twa0306",新聞啄木鳥APP、全能拆掉改造王、民瓊林計畫,"1.找視覺設計師（UI/UX）
　跟
2.會作曲的人（如果莫名其妙超過10人冒出來，將舉辦作曲松）
3.會拍攝微電影，畫分鏡圖的人",https://www.youtube.com/watch?v=ryYBD1tWI50&index=21&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,https://www.youtube.com/watch?v=euvisTIapqY,https://www.flickr.com/photos/_michael_li_/sets/72157650796723961/
9,10:07,V,ETBlue,ok,動憲法,"MIT, CC BY-ND",https://g0v.hackpad.com/-x--ZlxnPcG1xLm#:h=專案報告@2015/2/14-不得宣傳罷免黑客松,憲動盟，野生官網，動民主,TxT 組 for 草根論壇記錄,https://www.youtube.com/watch?v=0HGDRCcoHRI&index=8&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
10,10:10,V,isabel,ok,憲餅廚房,CC-BY,http://hackfoldr.org/cckitchen/,憲法 基礎建設 遊戲,TxT，全端工程師,https://www.youtube.com/watch?v=X5qkiGajGqA&index=9&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
11,10:13,V,Ly,ok,2015 summer of ?,CC-BY,,"學生,暑假,寫code",贊助商 x N,https://www.youtube.com/watch?v=Nv4WUuk3Qx4&index=18&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
12,10:16,V,weihung,ok,哲學萌典,CC-BY,https://g0v.hackpad.com/tor49cAgodQ,phi10sophy、概念釐清、烙哲學,網頁前端、視覺化、資料輸入,https://www.youtube.com/watch?v=nEwlgQWRe3A&index=13&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
13,10:19,V,miaoski,ok,阿美語萌典2015年,CC-BY,,阿美語萌典,文字工人,https://www.youtube.com/watch?v=NHrvAEiGzkc&index=10&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
14,10:22,V,chewei,ok,都市農耕網,CC-BY,http://hackfoldr.org/Taipei-Urban-Agri/,都市農耕(urban agriculture)、community、policy-hacking,網站、社群論壇、知識庫,https://www.youtube.com/watch?v=mkjiXW6gcKA&index=11&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,http://goo.gl/Sg5WrE
15,10:25,V,Wush,ok,圍標檢測器,"CC-BY-SA
GPL",,政府標案、公司關係、圍標,"網站前端設計 x1
Android x1 
資料輸入 數人",https://www.youtube.com/watch?v=sXRUxVG57os&index=12&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,https://docs.google.com/presentation/d/1KChMkSegPghREVL0zsf2yw6FwgRg40a9si4AgPGlKEE/edit?usp=sharing
16,10:28,V,MrOrz,ok,ppt 政治承諾追蹤網,MIT,https://g0v.hackpad.com/-Political-Promise-Tracker-4a31UkdBItq,政治承諾追蹤、共筆協作、選舉承諾與政策白皮書整理,整理六都候選人政見承諾,https://www.youtube.com/watch?v=TS5e5G9YL5Q&index=22&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,http://goo.gl/m0yTni
17,10:31,V,王希,ok,國會調查兵團網站,"CC-BY 4.0 , MIT",https://cic.tw/,立委言行資料庫、資訊整合平台、國會監督,"網站前端設計 x1
資料輸入 數人",https://www.youtube.com/watch?v=jUJ-J55PqKU&index=14&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
18,10:34,V,理查,ok,開放都市計畫,"CC-BY, MIT",https://g0v.hackpad.com/f3z18AeU2uH,都市計畫、民眾參與、計劃書資料庫化,"1.pdf資料擷取、網頁前後端
2.都市計畫知識提問、寫手",https://www.youtube.com/watch?v=lOSPkMHTLKk&index=15&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
19,10:37,V,"Mark Chang, Simon",ok,語言、本體資源與知識開放計畫,CC-BY,http://lopen.linguistics.ntu.edu.tw/about.html,open data、中文語料、知識資源,"1.網頁前端、資料視覺化
2.機器學習、資料探勘、自然語言處理",https://www.youtube.com/watch?v=f2_Wj-wzz_8&index=16&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,http://goo.gl/NBHdnS
20,10:40,V,Joyhsu,ok,ivod下載器UI改寫,CC-BY,https://g0v.hackpad.com/IVOD-KdTs5gZb3yw,立委言行資料庫、ivod、國會監督,桌機應用程式開發工程師,https://www.youtube.com/watch?v=2mMmWrCLDis&index=17&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,http://www.slideshare.net/joyhsu/ivod
21,10:43,V,,,,,,,,,,
22,10:46,V,au,ok,vTaiwan.tw 第二階段,"CC0, CC BY",https://g0v.hackpad.com/vTaiwan.tw-hackath12n-RLDmz3h7oJg,法規諮詢、工作組、動民主,視覺設計、前端設計、文案、審議帶領人、Ruby hacker,https://www.youtube.com/watch?v=yOdg47vOvUg&index=19&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,https://speakerdeck.com/audreyt/vtaiwan-dot-tw-di-er-jie-duan
23,10:49,V,雨蒼,OK,司改會Open data,CC-by,,司法教育,,https://www.youtube.com/watch?v=8vyWeR2trlQ&index=20&list=PLdwQWxpS513BqtUjQsBV-7d4QhYmHSJP5,,
--截止--,,,,,,,,,,,,
"2/14 14:30【8分鐘短講報名】
每個 present 8min，分享技術、議題、專案、研究皆可。",,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,同意錄影以 CC-By 釋出?,主題,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,V,Mark Chang,ok,藏頭詩產生器,,http://lopen.linguistics.ntu.edu.tw/project/acrosticpoem/,計算語言學、唐詩、藏頭詩,,https://www.youtube.com/watch?v=TdNQYNiOesU&list=PLdwQWxpS513C3Bk9WkmTz4s5D1cbUJl8A&index=1,,
2,14:38,V,Sherman 段,ok,蘿蔔烤立委候選人,,http://bit.ly/1aYUesq,程序正義、議事規則、立委選舉,,https://www.youtube.com/watch?v=kLmO_4SohJ0&list=PLdwQWxpS513C3Bk9WkmTz4s5D1cbUJl8A&index=2,,
3,14:46,V,chewei,ok,協助年輕人來宜蘭平台；倡議、政見到政策-都市農耕網的社群倡議與台北市田園城市政策之間的互動,,"宜蘭新農人媒合平台 https://g0v.hackpad.com/jAFuERTpDC5
都市農耕 http://hackfoldr.org/Taipei-Urban-Agri/ZcKvRqGob8o",「都市農耕」倡議、市長選舉人政見「田園城市」、百日維新政策執行,,https://www.youtube.com/watch?v=8NFpvZe9hA8&list=PLdwQWxpS513C3Bk9WkmTz4s5D1cbUJl8A&index=3,,http://goo.gl/Sg5WrE
4,14:54,V,王希,ok,國會調查兵團網站,,https://cic.tw/,立委言行資料庫、資訊整合平台、國會監督,,https://www.youtube.com/watch?v=-CPwmp9uaO4&list=PLdwQWxpS513C3Bk9WkmTz4s5D1cbUJl8A&index=4,,
,,,,,加拿大 OpenData 研討會,,,,,https://www.youtube.com/watch?v=lPjGV-HNIcQ&list=PLdwQWxpS513C3Bk9WkmTz4s5D1cbUJl8A&index=5,,
,本期開放4位8分鐘,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"2/14 17:00【不得宣傳罷免 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,
1,17:00,V,ronnywang,yes,什麼是地號,CC0,https://g0v.hackpad.com/ZrNxaKVn8jt,,,https://www.youtube.com/watch?v=agHblWNEezc&index=1&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
2,17:05,,,,,,,,,https://www.youtube.com/watch?v=2AOTRD6D6lU&index=2&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
3,17:10,V,a0kman,yes,超農域,CC0,,,,https://www.youtube.com/watch?v=E_yVoCLnqdI&index=3&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
4,17:15,V,tkirby,yes,空難視覺化,CC-BY,,,,https://www.youtube.com/watch?v=9ZqhPTZDEck&index=4&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
5,17:20,V,walkingice,yes,跳坑總數,CC0,,,,https://www.youtube.com/watch?v=euvisTIapqY&index=5&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
6,17:25,V,Michael_LI,yes,除黴計劃,MIT,http://beta.hackfoldr.org/app4am/12-NbwAt1qAcJc,,,https://www.youtube.com/watch?v=bhRZQQIew-c&index=6&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
7,17:30,V,泳毅,yes,動憲法,"MIT, CC BY-ND",http://g0v.github.io/don-constitute/public/grassroot-9-taedp-20150124,,,https://www.youtube.com/watch?v=bhRZQQIew-c&index=6&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
8,17:35,V,Miffy & Keith,yes,判決心證分析,CC0,https://g0v.hackpad.com/wE1lPGzD9s4,判決書、法官心證、量刑分析,,https://www.youtube.com/watch?v=Ks3izftulhI&index=7&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
9,17:40,V,gilbert,yes,政商關係圖,cc-BY,https://g0v.hackpad.com/hxJBK9v7frt,,,https://www.youtube.com/watch?v=YKS3A-3XQsg&index=8&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
10,17:45,,,,,,,,,,,
11,17:50,V,chewei,yes,「田園城市」的觀察,,http://goo.gl/Sg5WrE,「都市農耕」倡議、市長選舉人政見「田園城市」、百日維新政策執行,,https://www.youtube.com/watch?v=P09sxBdRDww&index=9&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
12,17:55,V,pm5,yes,新台語·運動,MIT,https://g0v.hackpad.com/moed7ct-taigi-neologism?r=0#,台語,,https://www.youtube.com/watch?v=vMCguTVUA_Y&index=10&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
13,18:00,,au,yes,vTaiwan.tw,CC0,https://g0v.hackpad.com/vTaiwan.tw-hackath12n-RLDmz3h7oJg,,,https://www.youtube.com/watch?v=5KR_PjnIW5c&index=11&list=PLdwQWxpS513Aq2NNFlBwuWLKaoRrmx1DT,,
,,,往上填坑～,,,,,,,,,
