,,,,,,,,,,,,,,,,,,
,"發表時間
Time",完成,"發表者
Presenter","提案形式
Form",錄影以 CC-BY 釋出？,"專案名稱
Project Name","主題
Topic","專案授權
Project License ","g0v Podcast
松後推坑電台
受訪意願? (Y/?)","共筆／討論連結
HackMD link","目前成果／投影片連結
Slide link","新參者友善（Y/?）
Newcomer-friendly?","專案三個關鍵字
3 Keywords of Project","專案徵人（專長）
Recruitment (talents?)",坑主聯絡方式,youtube url: 專案報告 或是 預錄影片,youtube url: 成果報告,youtube title
09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,,,,,,
＊無法實體出席者，建議以預錄影片提案。並將提案影片連結填在欄位「O：youtube url 或是 預錄影片」,,,,,,,,,,,,,,,,,,
0,9:30,,揪松團,實體出席,,開場,感謝 台灣資訊環境研究中心 IORG 贊助本次大松 😇,,,https://docs.google.com/presentation/d/1Z9h5gJkCF70iq9k3rJlnZAT6bd9AC1OxwTpOquU5IxI/edit?usp=sharing,,,,,,,,g0v tw hackath62n — 提案 — 開場 ／ 揪松團 —  帶我去月球黑客松
,,,,,,,,,,,,,,,,,,g0v tw hackath62n — 提案 —  ／  —  帶我去月球黑客松
1,9:40,,Dong,實體出席,Y,AMO ── An Agenda Maker Based on Opass Schedule Format,一個將議程資料，轉換成好看議程表的小工具（使用 Opass 資料結構）,CC-BY,Y,https://hackmd.io/@Dong-/AMO/https%3A%2F%2Fg0v.hackmd.io%2FtTYHgZPnR960R3Q-q4RkUQ,https://g0v.hackmd.io/@WbB98FoNTsivbcUIrjQILQ/SkegDsPuC#/,Y,"開源 Conf, 設計師, Summit 2024","設計師, 曾參與籌辦各大開源 Conf 的朋友, 會 ReactJS 的人","g0v slack #amo- 
@Dong",,,g0v tw hackath62n — 提案 — AMO ── An Agenda Maker Based on Opass Schedule Format ／ Dong —  帶我去月球黑客松
2,9:43,,ziaosen,實體,Y,星河計畫-自學生經驗匯流, ,CC-BY,Y,https://galacticproject.notion.site/40485be542274bb3936b0972a21b673f?pvs=4,https://galacticproject.notion.site/,Y,"自學生, 經驗開放, 詮釋資料","notion UIUX, 社群經營, 各種意見",@ziaosen ,,,g0v tw hackath62n — 提案 — 星河計畫-自學生經驗匯流 ／ ziaosen —  帶我去月球黑客松
3,9:46,,"chewei, 任翔 Sean",實體,,Collage,一秒變身空間設計師 ! 空間改造的網頁工具,GNU GPL V3,Y,https://github.com/SeanGau/city-collage,https://collage.collective.tw,Y,"空間改造的畫面創作, 網頁工具, 公眾可以使用","工程師 (程式使用 python3 flask 做框架), 網頁推廣的活動企劃","g0v Slack #joinplus
@chewei",,,"g0v tw hackath62n — 提案 — Collage ／ chewei, 任翔 Sean —  帶我去月球黑客松"
4,9:49,,bil,實體,Y,Cofacts 真的假的 & Open165,Cofacts 在旁邊修issue 跟查核假資訊／讓 165 反詐資訊在搜尋引擎上打敗二次詐騙,"MIT, 
CC-BY-SA",y,https://cofacts.tw/hack,https://docs.google.com/presentation/d/1ivYoq6-urRHUYQw92Rm1Y2tIM4F98NTS1EMGXbcs6z4/edit#slide=id.g28caf866bb2_1_0,Y,程式開發、事實查核、搜尋引擎最佳化,"會 Google 找資料的人
會 NodeJS / ReactJS 的人
SEO 高手、UI / UX Designer",g0v slack #cofacts @mrorz @bil,,,g0v tw hackath62n — 提案 — Cofacts 真的假的 & Open165 ／ bil —  帶我去月球黑客松
5,9:52,,Ronny,實體,,台灣人的開放國會行動方案,來收集台灣人對開放國會的想像吧！,CC-BY,Y,https://g0v.hackmd.io/@SA7CD7VRSp6Fcqw9CaElcQ/SJ93ZW5XR/%2F8uTwZDmoR_yHT_Z-ahUYWw,https://docs.google.com/presentation/d/1S8bZWYAvyweEFHVt6frD7NXpCAV8xC1OQTZdVIRZUn4/edit#slide=id.p,,,,,,,g0v tw hackath62n — 提案 — 台灣人的開放國會行動方案 ／ Ronny —  帶我去月球黑客松
6,9:55,,Tofus,實體,Y,#design,一起來切豆腐！,CC-BY,Y,https://g0v.hackmd.io/DlyCaahFR9-yA41PlAoBzQ,https://www.figma.com/deck/YlBxRUV5nff75CEaQUiYDJ/0720?node-id=1-53&viewport=139%2C-17%2C0.54&t=hY65vpKKMm2LQMo4-1&scaling=min-zoom&content-scaling=fixed&page-id=0%3A1,,,,,,,g0v tw hackath62n — 提案 — #design ／ Tofus —  帶我去月球黑客松
7,9:58,,Peter,實體,,數位公共參與工具survey與議題小聚,一起來找世界上有哪些數位公共參與的工具！,CC-BY,Y ,https://g0v.hackmd.io/@Pno233SAS8G5UfL5OvSRmA/SkXZk8UdR,https://docs.google.com/presentation/d/1iDZK7apnp-pw6vId-rRHeSfol8DpRddycU_S3HBQcMk/edit?usp=sharing,v,公共討論、數位工具研究、審議式民主,對於數位公共參與工具有興趣的人、對於審議式民主與議題討論有興趣的人、想要更有效討論公共議題的人,"g0v slack #vtaiwan 
@peter ",,,g0v tw hackath62n — 提案 — 數位公共參與工具survey與議題小聚 ／ Peter —  帶我去月球黑客松
8,10:01,,宏信,實體,Y,Linux Odyssey,給開發者的電腦入門課,GPL,Y ,https://g0v.hackmd.io/@wancat/linux-odyssey-0720,https://www.canva.com/design/DAGLXdS36Io/a3PKwW01Zo6YIMclVJLEgw/view?utm_content=DAGLXdS36Io&utm_campaign=designshare&utm_medium=link&utm_source=editor,Y,資訊教育、指令教學、遊戲化學習,設計師、前端開發者、教育工作者、程式初學者,https://matrix.to/#/#linux-odyssey:linchpins.cloud,,,g0v tw hackath62n — 提案 — Linux Odyssey ／ 宏信 —  帶我去月球黑客松
9,10:04,,OKHand,實體,,ChanceTix,一起打造台灣售票平台的淨土,"程式碼：AGPL-3.0
文件： CC-BY-SA",Y,https://g0v.hackmd.io/A4Vqa-T6QoqwIsKcz2NIXw?view,https://docs.google.com/presentation/d/18wddOPBj_I-S17uo0DpoSuVStynUGLpaSg7ZcmCEZ44/edit?usp=sharing,,"反黃牛, 售票系統, 非營利組織","Web前後端, UIUX, 有開發過售票平台, 有串過金流平台 , 有興趣交流與參與的人",@OKHand ZiYu ,,,g0v tw hackath62n — 提案 — ChanceTix ／ OKHand —  帶我去月球黑客松
10,10:07,,冰川,實體,,APCS Guide,一起建立一個高品質的程式學習平台！,CC-BY,Y,https://hackmd.io/@c_I6awIzTxyxIF6PaOEtSg/Hkp_PcuOR,https://slides.com/dada878/deck-b2f99c,Y,教育創新、線上學習平台、APCS,UI / UX、Next.js 前端、任何後端、有興趣參與討論或提供意見的人,@dada878,,,g0v tw hackath62n — 提案 — APCS Guide ／ 冰川 —  帶我去月球黑客松
11,10:10,,T,實體,Y,論證-公共議題論述匯整平台,一同建立高品質的公共議題論述匯整平台，化解分歧並凝聚社會共識！,MIT,Y,,https://docs.google.com/presentation/d/1SAW5gS00zzU8J9yy_shwWZ605N0fqStcc1-qfXOat3k/edit?usp=sharing,Y,資訊視覺化、AI、事實查核,UI/UX、前後端開發人員、希望提升台灣社會民主韌性的人,"@T
g0v slack  #statement_proof-論證平台",,,g0v tw hackath62n — 提案 — 論證-公共議題論述匯整平台 ／ T —  帶我去月球黑客松
