,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
12/26 09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,
https://www.youtube.com/watch?v=SGOMsAvFVOE,,,,,,,,,,,,,
1,9:40:00 AM,,youtube 播放清單,,https://www.youtube.com/playlist?list=PLdwQWxpS513DCtvJq7bmo8UIG9b-hx8Qf,,,,,,,,
2,9:43,,,,,,,,,,,,
3,9:46,,,,,,,,,,,,
4,9:49,,,,,,,,新聞　分析　媒體組織的行為,"1.分類文字新聞
2.分類電視新聞
3.勞力者",,,
5,9:52,,,,,,,,,,,,
6,9:55,,,,,,,,食蛇龜、生態、資訊交流,HTML+CSS+JS、資訊視覺化設計,,,
1,9:40,,,,,,,,,,,,
2,9:43,,,,,,,,,,,,
3,9:46,,,,,,,,,,,,
4,9:49,,吳沛燊,Y,健保核刪,,https://dsp.hackpad.com/L8FFA61oHcF,http://www.slideshare.net/peishenwu/ss-56012640,,,https://www.youtube.com/watch?v=vEuj2tBE0NU,,
5,10:02,,Mindos,Y,MT7688,,,,,,,,
6,10:05,,,,,,,,,,,,
7,10:08,,王信凱 Sky,Y,站聲 - 民意代表的評價平台,CC BY,https://g0v.hackpad.com/m4tGX88GT8X,http://solveissue.org/,民代贊和噓、評論、排行,,,,
8,10:11,,ETBlue,Y,懶人藝術家 x 經濟民主連合,CC BY,http://beta.hackfoldr.org/lazy-artist,,插畫、社運、NGO,插畫家,,,
9,10:14,,ETBlue,Y,Guild Wars 2 Inventory,MIT,https://g0v.hackpad.com/Guild-Wars-2-Inventory-NcrQirRU18O,http://etblue.github.io/gw2inventory/,GW2、前端、除蟲,可以忍受菜鳥的 code 的F2E,,,
10,10:17,,Peggy,Y,公務人員開放資料Lesson 2,cc0,https://hackpad.com/Lesson-2-SSDJngGP8MU,https://www.dropbox.com/s/p6p4h5gk64cr3nm/%E5%85%AC%E5%8B%99%E5%93%A1%E9%96%8B%E6%94%BE%E8%B3%87%E6%96%99Lesson%202.pptx?dl=0,公務員翻譯蒟蒻,有耐心跟我解說你怎麼用資料的工程師,,,
11,10:20,,小四,Ｙ,一起來玩防災演習唄～,MIT,https://hackpad.com/105-UWDiLaZEEaQ,,災害、演習、志工,對防災有興趣的人、網頁或資料庫工程師,,,
12,10:23,,poga,Y,開放資料 landing page 產生器,MIT,https://g0v.hackpad.com/-landing-page-SfuUIP4TA80,https://dl.dropboxusercontent.com/u/125794/datasmith.pdf,資料分析、產生器、行銷,喜歡玩資料的人,,,
13,10:26,,Effie,Ｙ,司改實境遊戲計畫,CC-BY,https://g0v.hackpad.com/uG07Z5744Sp,https://drive.google.com/open?id=0B_uTOPXK4r0daExsVzFDbFlpVG8,實境遊戲、司法議題、網站建置,視覺設計、插畫家,,,
14,10:29,,Bobby Tung,Y,自己的Emoji自己造,Open Standard,https://g0v.hackpad.com/Emoji-YPkxkHyGz97,http://www.slideshare.net/bobby3302/emoji-56448120,"Emoji, Unicode, 標準化",繪圖、Google Trend等,,,
15,10:32,,Liz,Y,iTaigi嘛愛講台語,CC0,https://g0v.hackpad.com/moed7ct-taigi-neologism?r=0#iTaigi,http://itaigi.tw/,台語、鄉民、好工具,前端工程師、網頁設計師,,,
16,10:35,,If,Y,救救臺灣龜/野保法,程式 MIT / CC BY-NC 4.0,https://g0v.hackpad.com/tFDaeOtsSbU,http://g0v.github.io/cuora/,台灣龜、盜獵走私、野保法,網頁設計師、挖資料,,,
17,10:38,,理查,Y,通勤自行車道影片平台,CC-BY,https://g0v.hackpad.com/acE04QoED4q,,自行車通勤、影片分享,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,== 截止 ==,,,,,,,,,,
"12/26 14:30【8分鐘短講報名】
每個 present 8min，分享議題、專案、研究、技術皆可。",,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,,whisky,,data.gov.tw 與 community,,,,opendata gov community,,,,
2,14:40,,理查,,為什麼都市計畫要開放,,,,開放都市計畫,,,,
3,14:50,,廖昱嘉,,"淺談公寓大廈管理委員會與都市更新之關係
——從日本反觀台灣——",,,,都市更新、管委會,,,,
4,15:00,,吳沛燊,,健保核刪,,,http://www.slideshare.net/peishenwu/ss-56012640,健保,,,,
,本期開放4位8分鐘,,==== 截止 ====,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"12/26 17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,
1,17:00,,李慕約,yes,選舉圖表程式庫,GPL v2,,https://github.com/sheethub/2016electionchart,,,,,https://github.com/sheethub/2016electionchart
2,17:05,,poga,yes,開放資料新聞產生器,MIT,https://g0v.hackpad.com/SfuUIP4TA80,https://github.com/g0v/datasmith,,,,,
3,17:10,,Bobby Tung ,Y,自己的Emoji自己造,Open Standard,https://g0v.hackpad.com/Emoji-YPkxkHyGz97,https://docs.google.com/spreadsheets/d/1GHA0iy-OJsQ9BBiJXtffkCLjFbScYyVffrzQvmGs-wk/edit#gid=0,,,,,
4,17:15,,If,Y,救救野保法,,https://g0v.hackpad.com/saSmRqGHLt1,https://docs.google.com/spreadsheets/d/1vrjXHYMad2gkvWGav3r42h5Uoxw9Zm6TzB-JGYCUF44/edit?usp=sharing,,,,https://www.youtube.com/watch?v=ScLXIw1dsxI,"https://goo.gl/0dTDuv
"
5,17:20,,Ly,Y,g0v summit 2016 progressing,CC0,http://beta.hackfoldr.org/g0v-summit2016,,,,,https://www.youtube.com/watch?v=eLpyAH_-M2U,https://hackmd.io/s/NkyjgG4We
6,17:25,,MrOrz,Y,沒有進度的2016總統大選承諾一覽表,MIT,http://beta.hackfoldr.org/president2016-folder/Hacktabl-2-nbhQS36Tcx9,http://beta.hacktabl.org/president2016,,,,,
7,17:30,,小四,Y,一起來玩防災演習唄～,MIT,https://hackpad.com/UWDiLaZEEaQ#:h=今日討論-recap,,,,,,
8,17:35,,miaoski,Y,阿美語萌典 App - 5.5.0,CC0 + CC/BY-NC,,,,,,,
9,17:40,,Peggy,y,公務員開放資料Lesson2,cc by 4.0,https://hackpad.com/Lesson-2-ver-1.0-66v3MznX37g,,,,,,
10,17:45,,MH,y,什麼是健保點值？什麼是核刪？,cc0,http://www.slideshare.net/peichilo3/g0v-po,,,,,,
11,17:50,,dir,y,哺乳地圖,cc0,https://g0v.hackpad.com/O0rbl8VdqpC,,,,,,
12,17:55,,Liz,Y,iTaigi嘛愛講台語,CC0,https://g0v.hackpad.com/moed7ct-taigi-neologism?r=0#iTaigi,http://itaigi.tw/,台語、鄉民、好工具,前端工程師、網頁設計師,,https://www.youtube.com/watch?v=JIiRnbgpH70,
13,18:00,,ETBlue,Y,曾經是老實的老王 (Re: 健保核刪),,,,,,,,
,,, ,,,,,,,,,,
