,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
6/13 09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,
直播網址,,,https://www.youtube.com/watch?v=tKVJtongXmA,,,,,,,,,
1,9:40:00 AM,,,,,,,,,,,
2,9:43,V,Yo Yo,yes,立委投票指南－易用性測試,CC0,https://g0v.hackpad.com/-Usability-test-yxrIYtdhyzF,UX Usability  ,UX、受測者、任務設計 ,https://www.youtube.com/watch?v=zya5MT8klRs&index=3&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,https://docs.google.com/presentation/d/1QdfzZFuSFAWGDd5mqZv6XY8g9RNO4lS3xvRdD95LClM/edit?usp=sharing
3,9:46,, ,,,,,,,,,
4,9:49,V,ETBlue,yes,COSCUP野生官網,CC0,https://g0v.hackpad.com/COSCUP-2015--WxxpYVpXOWA,COSCUP，野生官網，CC0,前端工程師,https://www.youtube.com/watch?v=mXvzEwXlxpI&index=5&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,
5,9:52,V,ronny,yes,發文附上判決書運動,CC0,https://g0v.hackpad.com/hQ12Bq8UQIq,新聞、判決書、wikipedia,"文字,法律",https://www.youtube.com/watch?v=7-RBjmwEgA4&index=4&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,https://docs.google.com/presentation/d/1sx3kcJKfU833DGJhFQdt9mFn6TEIIxdl-aB7lWECaT0/edit#slide=id.ga122bd45a_1_58
6,9:55,V,chewei,yes,心家園：臨時住宅與永久屋規劃設計資料庫,?（需要協助釐清）,https://g0v.hackpad.com/jEoiuMS44dD,"空間規劃與建築設計資料, 救災與重建, 資料庫","建築設計, 資料庫, 授權實務",https://www.youtube.com/watch?v=knTsXgZSe3s&index=6&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,https://docs.google.com/presentation/d/1GZpFUD9EFicgR3_PnluaJrkKC6kSi45aT-WIzqpiIhM/edit?usp=sharing
7,9:58,V,chewei,yes,顧膝蓋的捷運移動指南 ㊙,?（需要協助釐清）,https://g0v.hackpad.com/--UtFnSw1N82s,"捷運, 膝蓋, 工人智慧","MRT, indoormapping, crowdsourcing",https://www.youtube.com/watch?v=j_oPwwkNkoU&index=7&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,https://docs.google.com/presentation/d/1iZtVd9Ite4qNAP1l81hVvQuPXsz8n1olxxuXVfEZJHE/edit?usp=sharing
8,10:01,V,chewei,yes,地號轉地圖  Land No. Mapper,?（需要協助釐清）,https://g0v.hackpad.com/-Land-No.-Mapper-uhB6qAwYXe5,"野生地號查詢API, 試算表, Mapper","http://twland.ronny.tw, UI, ",https://www.youtube.com/watch?v=J3ZESIRIA8w&index=8&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,https://docs.google.com/presentation/d/17zoTSPLiG9wZITZkjMXuCD3y14KWRCc78PrCKBSq8fk/edit?usp=sharing
9,10:04,V,timloo,yes,碩士論文研究,CC0,https://g0v.hackpad.com/EMBA-qlnlC8oRFCw,碩士論文  分享  協作工具,1。(xe)latex 中文章節項修改，2。D3.js 轉統計圖，3。填問卷，https://docs.google.com/forms/d/1OEjW3VyUofXD3mSuQQkQs5gIah7rw-2joqWVwHEOAKU/viewform,https://www.youtube.com/watch?v=c_Kvdg9Dlzc&index=9&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,https://docs.google.com/presentation/d/1bB4gu5GkB8MUEnj35VaBkIPAJ-6uPuhrfwf_AkJUJ4w/present?slide=id.p
10,10:07,V,淵智,yes,貪污判決查詢網站,CC0,https://g0v.hackpad.com/--OoaenzjVDKK,,,https://www.youtube.com/watch?v=-2GIYABcF5U&index=10&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,
11,10:10,V,Jason Kuan,yes,"車禍熱圖
","CC-BY/BSD
",https://github.com/Drainet/cacci-opendata,"車禍, 地點分佈, 經緯度request","設計（我們的美術糟糕沒有極限）
",https://www.youtube.com/watch?v=-Nd8RgHlsts&index=11&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,https://dl.dropboxusercontent.com/u/67191344/site/g0v_present/assets/player/KeynoteDHTMLPlayer.html#0
12,10:13,V,理查,yes,開放都市計畫:委員會會議紀錄,CC-BY;MIT,https://g0v.hackpad.com/--BpW2Xt7s8AH,"都市計畫委員會,會議紀錄",地方政府政務官 (!)、爬梳施政報告,https://www.youtube.com/watch?v=cphsT3dENY0&index=12&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,
13,10:16,V,MrOrz,yes,政治承諾追蹤網 political promise tracker,code:MIT; content: CC0,beta.hackfoldr.org/ppt,"群眾協作, 施政報告, 政策追蹤",,https://www.youtube.com/watch?v=EpyBdNSBN0c&index=13&list=PLdwQWxpS513A5q0y-BIxN3BmWl0TOuoVu,,https://speakerdeck.com/mrorz/political-promise-tracker-zheng-zhi-cheng-nuo-zhui-zong-wang-g0v-hackath14n-ti-an
