,,,,,,,,,,,,,
 ,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,9:40,v,tkirby,是,文字編輯戰鬥團,CC0,https://g0v.hackpad.tw/g0v--KgJrTYXsd4b,,基礎建設 / 文字 / 行銷,文編 / 小編 / 媒體 / 行銷,https://www.youtube.com/watch?v=bFe6u6Khyho&index=3&list=PLdwQWxpS513AiFu-r4_sNmD8dWoeQWCZx,,https://drive.google.com/drive/folders/1ixc0IA3aMLjyEF3EnWTdsVJhUNXqL59h
2,9:43,,,,,,,,,,,,
 ,9:46,v,Starhead,是,友善環境同溫層App,MIT,https://g0v.hackpad.tw/App-bBclKtkhC3L, https://docs.google.com/presentation/d/1Kgq1yBuuW-eEhWBKvX5MHzuGY3KWsRoO0OteigOginE/edit?usp=sharing,友善環境 / 不塑 / 串連,程式 / UX顧問 / 資料登錄,https://www.youtube.com/watch?v=joPN6YlDtmU&list=PLdwQWxpS513AiFu-r4_sNmD8dWoeQWCZx&index=4,,
4,9:49,,,,,,,,,,,,
5,9:52,v,Ronny,是,求職小幫手,"Code: BSD, Data: CC0",https://g0v.hackpad.tw/v35eOZ6CVGI,,勞動 / 勞基法,設計 / 行銷 / 勞動法,https://www.youtube.com/watch?v=FaIguKr475s&list=PLdwQWxpS513AiFu-r4_sNmD8dWoeQWCZx&index=5,,
6,9:55,v,小蟹,是,阿美語萌典,CC0,https://github.com/g0v/amis-moedict,https://amis.moedict.tw,阿美語、台灣原住民語與南島語、台灣原住民族文化,後端工程師、前端工程師、有興趣的人,https://www.youtube.com/watch?v=v4_E2RjhWoM&list=PLdwQWxpS513AiFu-r4_sNmD8dWoeQWCZx&index=6,,https://docs.google.com/presentation/d/1Ic-lq29Qo3laOCV4FWUHAKoCxNS08TPn_w3FkoGxBKE/edit?usp=sharing
7,9:58,v,mrorz,是,Cofacts 真的假的,Code: MIT / Data: CC0,beta.hackfoldr.org/cofacts,cofacts.g0v.tw,"Fact-checking, crowd-sourcing, chatbot","編輯：會上網查證的人
程式：Node.JS, React.JS
玩資料：elasticsearch
設計：UX、Cofacts 網站使用者",https://www.youtube.com/watch?v=8AIass_ImOA&index=7&list=PLdwQWxpS513AiFu-r4_sNmD8dWoeQWCZx,,https://docs.google.com/presentation/d/1AScoEKc6J8R3qiNRhXC1POLIBMX-dbgCECgnUxvpeaw/edit#slide=id.p
8,10:01,v,bess,是,The Space Hub,cc by-nc,https://g0v.hackpad.tw/The-Space-Hub,,基礎建設 / 地圖 / 平台,對空間與其相關議題有興趣的人 / 文字 / 資料收集 / 程式 / 或其他可能？,,,https://docs.google.com/presentation/d/1cg8IMtvAPjhCvvezogPoQgaCTlQwhhoIfzFZCJxxiN0/edit?usp=sharing
