,,,,,,,,,,,,,
順序,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
1,14:30,v,媒觀,Y,草根監督媒體計劃（台灣媒體觀察教育基金會）,,https://newshackathon.hackpad.com/mrzzcKc795W,http://www.net543.com/web_test/mediawatch/8minutes_01.html,,關心新聞的人，程式工程師，鄉民（花時間監督網路新聞）,,,
2,14:40,,          Yu-Chen Liu,Y,個人化醫療 與便便收藏?,,https://g0v.hackpad.com/Sync-for-Science--ktNib2TTgAP, http://syncfor.science/,"健保資料庫,個人化醫療, 大便遊戲中文化",1. 日文遊戲中文化人員  2.apps 開發人員  3.資料庫維護開發人員 4. 醫療個資法法律相關人員,,,
3,14:50,,蕭景燈，ilya,Y,台中數位文化中心,,,http://bit.ly/2mXgEA9,,喜歡跟台中發生關係的各種人,,,
4,15:00,,阿端,Y,揪松團定期定額與工作成果、OCF 國際交流四月出團說明,cc0,https://docs.google.com/presentation/d/1moPbGjVEixItPniUN7EtNNTGMLauPDcTFgHPGoPAH8k/edit#slide=id.g1ecb31ac32_0_166,https://docs.google.com/forms/d/e/1FAIpQLScdB4f1rUOYtHej9jE64fbi41iCs-imo1_S2yAWgUNh-wlcng/viewform?c=0&w=1,,,,,
,本期開放4位8分鐘，最後一位5分鐘,,== 截止 ==,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,
1,17:00,v,ttcat,Y,OneButton,,,,,,,,
2,17:05,,,,,,,,,,,,
3,17:10,v,吳政璋,Y,鄉民風水師,Apache v2,https://g0v.hackpad.com/-0.1.0-for-Android-0zZtHOsh7DJ,https://play.google.com/store/apps/details?id=tacoball.com.geomancer,"1. 凶宅
2. 勞基法",徵三星手機除錯,,,
4,17:15,v,劉李,,HackStory,程式 MIT / 資料 CC0,https://g0v.hackpad.com/HackStory-6svktTYKVLb,https://g0v.github.io/HackStory/?spreadsheetId=11hHSbluBcNfMYppvSMTfB9Pg4fHmJMvmduoaHFCXREE&sheets=%E5%90%8C%E5%A9%9A%E7%AB%8B%E6%B3%95%2C%E5%B9%B3%E6%AC%8A%E9%81%8B%E5%8B%95,1.協作工具 2.時間軸,"Javascript, UI/UX",,,https://docs.google.com/presentation/d/1XFl2wZJDZ3E54DbEXe6N1OnlTwjNM9R795Y4cOrJBmw/edit?usp=sharing
5,17:20,v,whisky,,屎坑的出口在哪了？,,,,,,,,
6,17:25,v,johnny,,新北市議會,,,,,,,,
7,17:30,v,Weiting,y,阿美語萌典,,https://hackpad.com/WPLVA9cNxOc,http://ppt.cc/rrnJg,阿美語、萌典、原住民,文字工、校對,,,
8,17:35,v,chewei,y,走出捷運車廂遇見手扶梯或電梯,,https://g0v.hackpad.com/--UtFnSw1N82s,https://docs.google.com/presentation/d/1iZtVd9Ite4qNAP1l81hVvQuPXsz8n1olxxuXVfEZJHE/edit,,,,,https://docs.google.com/presentation/d/1iZtVd9Ite4qNAP1l81hVvQuPXsz8n1olxxuXVfEZJHE/edit
9,17:40,v,Gavin,y,無人機宣導.應用,,,https://goo.gl/kXWOUV,,,,,
10,17:45,v,Pellaeon,,Pretix - 開源的售票和報名系統,,,github.com/pellaeon/pretix,,,,,
11,17:50,v,"李正賢, 寶萱",,臺北市公有非公用建物土地資料地圖展示,,https://hackpad.com/--YFjuO1wK9np,,,,,,
12,17:55,v,書漾,y,au 辦公室歷險記,,https://g0v.hackpad.com/open-government-vision-approach-MwVvU2BtfLx,,,,,,
13,18:00,v,nchild,Y,為匯流 N 法注射更多 NN－通訊傳播匯流修法,CC0,https://nninlaw.hackpad.com/dc1,https://www.slideshare.net/NNinLaw/n-nn-72801738,網路中立性、數位人權、數位匯流,共同完成社群修正案；翻譯／校對（針對馬尼拉原則）,,,
