,,,,,,,,,,,,,,,,,,
,"發表時間
Time",完成,"發表者
Presenter","提案形式
Form","錄影以 CC-BY 釋出？
Can we record and release the video (cc-by) ?",是否參加零世代資金池計畫,"專案名稱
Project Name","主題
Topic","專案授權
Project License ","共筆／討論連結
HackMD link","目前成果／投影片連結
Slide link","新參者友善（Y/?）
Newcomer-friendly?","專案三個關鍵字
3 Keywords of Project","專案徵人（專長）
Recruitment (talents?)","坑主聯絡方式
Project Lead Contact Info",youtube url: 專案報告 或是 預錄影片,youtube url: 成果報告,youtube title
9:30 【早餐】,,,,,,,,,,,,,,,,,,
,,,【早餐】,"．阿杰手工蛋餅(自製燒肉蛋餅)＋阿杰炒奶
．台南一味品碗粿＋魚羹
．[素食] 清祺素食點心部的素食餐點",,,,,,,,,,,,,,
"10:00 Event Introduction and Important Reminders 開場介紹與 g0v 行為守則提醒
10:10 Beginner Tutorial Session Time 新手教學",,,,,,,,,,,,,,,,,,
0,10:00,,揪松團,in person 實體出席,Y,-,,"活動介紹與 g0v 行為守則事項提醒
Event Introduction and Important Reminders",,,https://docs.google.com/presentation/d/1HQDY1g6lwbKOp493LXPWyACDJz1VO_oTUoY9e7SqA9k/edit,,,,,,,
0,10:10,,揪松團,in person 實體出席,Y,-,,"新手教學時間
Beginner Tutorial Session Time 也歡迎參加 g0v 新手村，認識與貢獻群眾協力型專案、認識線上課程資源、帶你來提案線上課程",,,,,,,,,,
10:30 Proposal Time 【提案時間】每個 present 3min，提案、徵人。,,,,,,,,,,,,,,,,,,
＊無法實體出席者，建議以預錄影片提案。並將提案影片連結填在欄位「O：youtube url 或是 預錄影片」,,,,,,,,,,,,,,,,,,
1,10:30,,揪松團,in person 實體出席,Y,N,零世代資金池 Generation Zero Vestment,零世代資金池計畫說明與本次參加團隊簡介 Vestment & Vantage: Adding Value for Gen Zero!,CC-by,https://g0v.hackmd.io/@jothon/20250329-bonus,,Y,,,,,,g0v tw hackath66n — 提案 — 零世代資金池 Generation Zero Vestment ／ 揪松團 — 台南黑客松
2,10:33,,kiang,in person 實體出席,Y,N,違反勞動法令事業單位（雇主）查詢系統大改造,違反勞動法令事業單位（雇主）查詢系統大改造,mit/cc-by,https://g0v.hackmd.io/@kiang/SJgRKcREa1l,,Y,勞動部、地圖、被開放資料,設計、熟悉勞動法規實務的,g0v slack #tainan @kiang,,,g0v tw hackath66n — 提案 — 違反勞動法令事業單位（雇主）查詢系統大改造 ／ kiang — 台南黑客松
3,10:36,,Ronny,in person 實體出席,Y,N,預算資料公開群眾外包,預算資料公開群眾外包,CC0,https://g0v.hackmd.io/@jothon/budget/https%3A%2F%2Fg0v.hackmd.io%2F01j1yrIeQ_eEWQhvFI8Gyw%3Fview,https://docs.google.com/presentation/d/1XimZHGOnliv0Cf6xhR6DotJO7qXSzGoZwDsPRg638-Q/edit?usp=sharing,,,,,,,g0v tw hackath66n — 提案 — 預算資料公開群眾外包 ／ Ronny — 台南黑客松
