,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
4/18 09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,
直播網址,,,,,,,,,,,,
1,9:40:00 AM,v,clkao,y,自己的選區自己畫,MIT,https://ckitchen.hackpad.com/1XXUB9gMNul,憲改、選制、選舉,前端、文案、動畫,https://www.youtube.com/watch?v=6tTFpZZLXb8&index=2&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
2,9:43,,,,,,,,,,,
3,9:46,,,,,,,,,,,
4,9:49,v,Ly,是,立法院 ivod下載網,CC BY 4.0,https://g0v.hackpad.com/IVOD--bwKQ3P8bGMv,"立法院, ivod, 下載器","UI, 文案,",https://www.youtube.com/watch?v=nAj4tnk09L4&index=3&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,http://www.slideshare.net/yhsiang/ss-47052684
5,9:52,v,isabel,ok,憲餅互動小鋪,CC By 4.0,http://bit.ly/1Hi7BAf,憲改、互動、前端遊戲,前端、設計、內容編輯,https://www.youtube.com/watch?v=PqFg8NlqOls&index=4&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
6,9:55,v,etblue,ok,憲動盟野生官網/野生部落格,MIT,https://g0v.hackpad.com/-x--ZlxnPcG1xLm#:h=專案報告@2015/4/18-無殼蝸牛黑客松,NG0、憲改、憲餅廚房,前端、設計、編輯,https://www.youtube.com/watch?v=tgn_-A1VFIU&index=5&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
7,9:58,v,ipa,ok,憲改限時批,CC By 4.0,http://bit.ly/1CWo9at,短片、系列懶人包、憲改,動畫、前端工程、編輯,https://www.youtube.com/watch?v=juzP9pBVYW8&index=6&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
8,10:01,v,MrOrz,ok,政治承諾追蹤網 PPT,MIT,https://g0v.hackpad.com/-Political-Promise-Tracker-4a31UkdBItq,promise tracker、協作,整理地方/中央政府承諾,https://www.youtube.com/watch?v=vqfZALpAQVc&index=7&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,http://goo.gl/m0yTni
9,10:22,v,"雨蒼
",是,,CC0,https://g0v.hackpad.com/87CNswL2g7U,"黨產,國民黨",前端、UI、視覺設計,https://www.youtube.com/watch?v=0rUJCZMnQeI&index=8&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
10,10:07,v,jimmy(huang),ok,賽豬公...上太空！,CC by-nc-sa 4.0,http://nspo.g0v.tw/,GIS、衛星、環境監測,前端、Bash、眼睛好的人,https://www.youtube.com/watch?v=zFcxJBY4ULs&index=9&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
11,10:10,,,,,,,,,,,
12,10:13,v,Kenny,ok,NPO Lab 公益實驗室,cc0,https://docs.google.com/document/d/1rKRk4ZL8ROpjeS23006tt61a71jJezbwPSIuEY8jOrY/edit?usp=sharing,,,,,
13,10:16,v,Joy,是,國會調查兵團開放公督盟數據API,CC0,https://cic.tw/opensource,"國會調查兵團,cic.tw,公督盟",,https://www.youtube.com/watch?v=wrN-b-ivxf8&index=10&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
14,10:19,v,nchild, OK,SOAK 泡・議題擴散機,CC BY 4.0,https://g0v.hackpad.com/iWODvWQnIGM,"議題, app, 共享經濟",App、前端、後端開發者，UI / UX，視覺設計,https://www.youtube.com/watch?v=YzR0iHp1wYM&index=12&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,bit.ly/soak-g0v
15,10:04,v,建寰,ok,社民黨年金改革政見視覺化,MIT,https://g0v.hackpad.com/xG0V--FoQcVuzFAOX,社民黨、年金改革,網站等相關程式,https://www.youtube.com/watch?v=OsiFJhyxCm4&index=13&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
16,10:25,v,淵智,是,貪污判決查詢網站,CC0,https://g0v.hackpad.com/--OoaenzjVDKK,貪污 判決書 text-mining,UI/UX text-mining NLP,https://www.youtube.com/watch?v=aXWhfAS16QE&index=14&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
17,10:28,v,台北林先生,OK,第零勢力：闌尾阻黨,MIT,,割闌尾、2016立委選舉,,https://www.youtube.com/watch?v=I2zJGVW0wy4&index=15&list=PLdwQWxpS513BhZaBy3VdW2MHQZd3ziulN,,
