23,,,,,,,,,,,,,,,,,
1,14:30,Phoebe,phoebe,Y,Republic of Liker Land 讚賞公民共和國,"程式 gplv3
文字 cc-by-sa",https://github.com/likecoin,,g0v slack #likecoin,https://meet.jit.si/likecoinsharing#config.startWithVideoMuted=true&config.startWithAudioMuted=true,https://docs.google.com/presentation/d/1s3YzKDZ5mqrzLGH9NNt9EjJBAvRwX5EoZtR5MOUWzUA/edit#slide=id.g7c06a933ee_0_0,,"content attribution, monetization, distribution",,g0v slack #likecoin,,
2,14:40,,,,,,,,,,,,,,,,
3,14:50,ronny,ronnywang,Y,怎麼用 2D 揪松畫地圖，分割畫面小幫手如何用,程式：BSD,https://g0v.hackmd.io/dr66MVRCT4eF8E0WRweQSg,,g0v slack #jothon,,,,,,,,
4,15:00,ael,ael,Y,Disfactory 農地違章工廠回報系統開發心得,"程式：MIT
文字：CC-BY",,,g0v slack #disfactory,,,,,,,,
5,15:10,sherry,@Sherry Chung,Ｙ,自己的資料自己記 - 後疫情時代我的防疫日記,CC-BY,https://hackmd.io/z4R96_ooRfuj8qRxRyaXTA,,g0v slack #mylog14,,"https://youtu.be/CG8_yDhGbiI
https://youtu.be/vt3aNC3kNB4",super friendly❤️,#MyData #Data right #Data economy,"UI Designer, UX, 推廣大使, 文件翻譯, 文件維護","g0v slack: #mylog14 channel , g0v slack @sherry chung, @Tammy @Sofia",,"https://github.com/MyDataTaiwan/mylog14
https://devpost.com/software/mylog14"
,,,,,"本期開放 5 位 8 分鐘，就只有 5 個，截止就不要再加了。
Only 5 talks. Please don’t add more.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
【5 分鐘成果報告】17:00 開始，每個 5min，分享今天做了什麼，接下來的計劃。,,,,,,,,,,,,,,,,,
Sign up for a 5-min presentation here. Share what you have done today.,,,,,,,,,,,,,,,,,
"英文發表主題請排 1-5 並在標題最前面使用 [ENGLISH]。 Topic in English, please choose 1-5 and use [ENGLISH].",,,,,,,,,,,,,,,,,
,"發表時間
Time","發表者
Presenter","發表者
Slack ID
必填","錄影 CC-BY
釋出？
Video CC-BY?","主題
Topic","專案授權
Licensing","共筆／討論連結
Notes, contact","專案聊天頻道
slack channel","討論視訊會議網址
meet.jit.si URL","目前成果／投影片連結
Slides, progress","新參者友善？
Newbie friendly?","三個關鍵字
3 keywords","專案徵人
People (skills) needed","坑主聯絡方式
Project owner contact","報告 YouTube 連結
YouTube link","相關連結
Related link",
1,17:00,Sherry Chung,@Sherry Chung,"Y
",[ENGLISH] How MyLog14 and LogBoard help to support the front-line medical staff,CC-BY,https://hackmd.io/z4R96_ooRfuj8qRxRyaXTA,#mylog14,,"https://youtu.be/CG8_yDhGbiI
https://youtu.be/vt3aNC3kNB4",super friendly❤️,#MyData #Data right #Data economy,"UI Designer, UX, 推廣大使, 文件翻譯, 文件維護","g0v slack: #mylog14 channel , g0v slack @sherry chung, @Tammy @Sofia",,"https://github.com/MyDataTaiwan/mylog14
https://devpost.com/software/mylog14",
2,17:05,Patrice Tsai,@Pei4,Y,[ENGLISH] Herstory - Feminism issues in East Asia,CC-BY,https://g0v.hackmd.io/EYSWYz8ZRB2oN6RHrVNf5g?both,#herstory,,,Welcome!,#Feminism #EastAsia #translation,"translation, 翻譯（中英日韓任兩種語言）, feminisism content、性別意識","g0v slack: #herstory,
g0v slack: @ael",,,
3,17:10,ael,@ael,Y,"[ENGLISH] Disfactory – Crowdsourcing Reporting Platform of Illegal Factories on Farmland（if anyone need this slot, feel free to move me out of top5）","Content: CC-BY
Code: MIT",https://github.com/Disfactory/Disfactory/,#disfactory,,,https://docs.google.com/presentation/d/15TJl1mE7mh42zmXIGO78_SzT_iZz_Z4inww0gU46oMs/edit#slide=id.g85b7aabc09_0_139,,,,,,
4,17:15,Hanyu,@yoyosoco,Y,阿美語萌典,CC0 1.0,,g0v slack #amis,,https://docs.google.com/presentation/d/1HOO9oJ-MjsJC_xn6Bsj7hWSDc2bMBpy5Jpf14BSdxqM/edit?usp=sharing,,原住民族、阿美語、萌典,,g0v slack #amis,,https://amis.moedict.tw/,
5,17:20,stimim,@stimim,Y,2D揪松傳送門,BSD License,,#jothon,,https://stimim.github.io/2d-online-chat/,Y,,,,,,
6,17:25,Bil,"@bil
@mrorz",Y,Cofacts 真的假的,"程式 MIT
文字 CC0",https://cofacts.g0v.tw/hack,g0v slack #cofacts,"
https://tico.chat/powercall?room=cofactshack&type=memberFirst",https://docs.google.com/presentation/d/15XLEbPk7eRfwsmF1xncoEVDe0q9fdixgKFB1B2sE5QU/edit,super friendly❤️translation provided,"crowd sourcing, fact-checking, chatbot",願意回應網路訊息的人、chatbot愛好者、少女、喜歡上網的人,"g0v slack: #cofacts channel , g0v slack @mrorz , @bil",,,
7,17:30,bess,"@pm5
@chihao
@bess",Y,g0v Summit 2020,https://g0v.hackmd.io/@summit2020/book/,https://g0v.hackmd.io/@summit2020/book/,g0v Slack #summit,,,,,想要投稿 g0v Summit 議程的人、想要揪親朋好友在年底一起去台南的人、喜歡全糖手搖飲的人,g0v Slack #summit,,,
8,17:35,停止提案,,,[reserved for edu],,,,,,,,,,,,
9,17:40,停止提案,,,[reserved for edu],,,,,,,,,,,,
10,17:45,Ronny,@ronnywang,Y,線上揪松 & 分割畫面小幫手成果,BSD License,https://g0v.hackmd.io/dr66MVRCT4eF8E0WRweQSg,,,,,,,,,,
11,17:50,chihao,"@chihao
@pm5
@wenyi",Y,0archive,,,g0v Slack #disinfo,,,,,,,,,
12,17:55,,,,,,,,,,,,,,,,
13,18:00,,,,,,,,,,,,,g0v #irvin,,,
14,18:05,雨蒼,@billy3321,Y,網路上的理性討論，有可能嗎？,cc-by,,,,,https://miro.com/app/board/o9J_ksf9XtU=/,,,,,,
15,18:10,jothon,#jothon,Y,社群一分鐘,,,,,,,,,,,,
