,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,slides url,youtube url: 專案報告,youtube url: 成果報告
3,14:16,v,ddio,ok,網路可以民啥米主？,,https://docs.google.com/presentation/d/1VPLG4u98K1jzVEadSNiGIvI_2KoQtE87Cm91hP-76Ss/edit#slide=id.p,動民主 共決 直接民主,,,http://youtu.be/gH8Vu9tYF8I,
☞ 第二天開放 3 位，每位 8 分鐘,,,,,,,,,,,,
,,,,,,,,,,,,
"Day 2 
8/31 17:00【黑客松 R0 成果閃電秀】 於國際會議廳進行，每個 present 5min",,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,同意錄影以 CC-By 釋出?,主題,,相關連結,三個關鍵字,專案徵人,,,
1,17:00,v,吳長鋼,ok,貪汙案件查詢網,MIT,https://g0v.hackpad.com/--OoaenzjVDKK,"貪汙 , 監督 , 開放","後端工程師 (PHP,Python) , 自然語言處理(NLP)工程師",,http://youtu.be/cbem_qiFZtg,
2,17:05,v,ronnywang,ok,newsdiff,"CC0, MIT",,,,,http://youtu.be/kKI1KW0z0k4,
3,17:10,v,chewei,ok,天龍特公地,"CC0, MIT",http://taipei-pop.herokuapp.com/,"公有土地資料, 查詢地圖, 持續趕工","後端, 資料庫 ,logo",http://www.slideshare.net/MikLiu/20140831-lighting-talk,http://youtu.be/u-ab7rf-_SY,
4,17:15,v,a0kman,ok,超農域,,http://hackfoldr.org/agriculture/,"農業,農藥,超農域","前端, 斧頭幫",,http://youtu.be/qqTnbqnqKSA,
5,17:20,v,lololol,ok,零食儲備計畫,CC-BY-SA 4.0,https://g0v.hackpad.com/U4G8f2H9ttF,xml、政府資料開放平台、視覺化,美工、表格化、平台程植,http://www.slideshare.net/SilversKi/ss-38529282,http://youtu.be/tJGjxMYOrrY,
6,17:25,v,johnny,ok,議員指南、金錢報,CC0,http://councils.g0v.tw/,議員、財產申報追蹤,程式、設計,,http://youtu.be/9h9CPB8yvMA,
7,17:30,v,shuhua,ok,島嶼天光學潮實紀錄,MIT,http://hackfoldr.org/sunflowerDocumentary/,"學運, 記錄, 文字化","前端美化, 逐字工, 切豆腐(youtube)技術",https://slidebean.com/p/9ZZ9WZPVUD/-,http://youtu.be/IJCMc46R8ME,
8,17:35,v,gilbert,ok,台灣公司關係圖研究,,://www. http gilbertliou.me,台灣公司關係圖、黨營事業,,,http://youtu.be/xcwTFEqhVxI,
9,17:40,v,"rhozan,mrbigmouth",ok,全民除霉計劃-新聞啄木鳥App Demo,Apache2.0,http://ec2-54-92-66-45.ap-northeast-1.compute.amazonaws.com:9090/,新聞啄木鳥、新聞松、媒體監督,UIUX、文案、後端資料分析,NA,http://youtu.be/KFGkZEIDSP8,
10,17:45,v,miaoski,ok,阿美語萌典/南島語萌典?,一言難盡,https://g0v.hackpad.com/moedict-no-pangcah--R2LBqjAdMwM,"萌典, 阿美語, 南島語","族語研究者, 砍柴工",https://speakerdeck.com/miaoski/a-mei-yu-meng-dian-kan-chai-ban-at-2014zi-liao-ke-xue-ai-hao-zhe-nian-hui,http://youtu.be/N45TB7Z5hxc,
,17:50,v,clkao,,g0v閃電秀小結,CC0,https://clkao.github.io/twstat/gap.html,,,,https://www.youtube.com/watch?v=xZ8ME9EIWUw&index=10&list=PLdwQWxpS513CBdo6AK6vOoDewCP7S-xKW,
☞ 為免時間延長拖到 DSC 閉幕，本次開放 10 組成果報告。視情況是否候補的報告時間移到 17:00 之前,,,,,,,,,,,,
"Day 2 
8/31 16:30【黑客松 R1 成果報告】 於 R1 進行，每個 present 5min",,,,,,,,,,,,
1,16:30,v,陳膺帆,ok,氣候選戰,"MIT,CC5","https://g0v.hackpad.com/-Vote-for-Climate-4ac9ap7zhrn
",氣候變遷、五都選戰、台灣青年氣候聯盟,,,http://youtu.be/pA3qBy8tvYQ,
2,16:35,v,iris,ok,自動新聞議題探勘,MIT,https://g0v.hackpad.com/xLJVsoaEsmK,"新聞,議題,探勘",,,http://youtu.be/ebuvRzoGJaM,
3,16:40,,,,,,,,,,,
4,16:45,,,,,,,,,,,
