,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
22,10:43,,Muyueh,ok,電力,GPL v2,https://g0v.hackpad.com/Nmi7NIdzWbJ,,,,,,
,,,== 截止 ==,,,,,,,,,,
"2016/6/18 14:30【8分鐘短講報名】
每個 present 8 min，分享議題、專案、研究、技術皆可。",,,,,,,,,,,,,
錄影: https://www.youtube.com/playlist?list=PLdwQWxpS513D4WE6U2hU7hRq9g_LdElFq,,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,,Fumi,ok,文組人Fumi的g0v進化史,CC-BY 4.0,,http://www.slideshare.net/JessieWang29/fumig0v-62149012,g0v、成長、新手,,   ,,
2,14:40,,思萱,ok,Job Sweeper,MIT,,https://www.youtube.com/watch?v=TpikXQsmVro,求職網、薪資、資訊不對等,extension開發經驗者、後端維護、法律專業,,,
3,14:50,,韋銘,ok,GoodJob ,MIT / CC BY 4.0,https://hackpad.com/GoodJob--JTI1pn86o63,http://www.slideshare.net/WeimingChen1/good-job-g0v,求職網、工作評論、資訊不對等,UI設計師、UX設計師、資訊設計師、瞭解勞動法令的人、工會人脈,,,
4,15:00,,hanteng,no,國家/語言選擇器：有一致排序的實現方案,MIT,https://g0v.hackpad.com/-Country-Language-Selectors-557poKLD3EG,https://github.com/hanteng/country-selector,國家代碼、國家名稱、語言介面,使用者批評、UI設計師、介面國際化與在地化,,,https://goo.gl/wFTpGF
5,15:08,,YuTin,ok,如何把坑挖好？,CC-BY 4.0,https://g0v.hackpad.com/UIUX-GqBDGaVeZj5,https://www.icloud.com/keynote/0004K1p54j-6hMIIxhFDpZKFA#g0v%5Fdesign,UI/UX,,,,
,本期開放4位8分鐘,,== 截止 ==,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"2016/6/18 17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,
錄影: https://www.youtube.com/playlist?list=PLdwQWxpS513DKvfCymlwLJGnohlnXBNUt,,,,,,,,,,,,,
1,17:00,V,a0kman,OK,超農域--醫農,CC-BY 4.0,https://g0v.hackpad.com/--8O5yt2XfygI,https://106.187.101.193:8888/#/?_k=uapy1y,農業、疫情、診斷,徵求前端、UI,,,
2,17:05,V,陳瑞賓,ok,WaterGo！免費飲用水地圖,全部公開,http://beta.hackfoldr.org/drinking-water/BAdDl4G9uXM,,,,,,
3,17:10,V,阿石,,g0v-tw.padagraph.io,MIT / CC-BY 4.0,https://github.com/g0v/g0vHackpads2PadagraphIO,,,,,,
4,17:15,V,子龍,OK,g0v官網基礎建設,BSD,https://g0v.hackpad.com/G0V-UI-Mb2yoaVY378,,基礎建設、UI,徵眾人許願,,,
5,17:20,V,clkao,OK,g0v project hub,MIT / CC-BY 4.0,https://g0v.hackpad.com/projecthub-redux-9U6DLtdZc48,,基礎建設、人坑介面,,,,
6,17:25,V,jme,OK,g0v issues tracker,MIT / CC-BY 4.0,https://g0v.hackpad.com/g0v-issue-tracker-iZZmyUdY57c,,基礎建設,,,,
7,17:30,V,"charlie, Ymow",OK,共識預煮 & 意見蒐集介面,CC BY 4.0,https://g0v.hackpad.com/precooksensus#-precooksensus,http://bit.ly/precook,公共參與、社會共識、共同意見,,,,
8,17:35,V,ddio,ok,Debater,MIT / CC0,https://g0v.hackpad.com/Debater--vjeJIZ8onSY#:h=%E7%9B%AE%E5%89%8D%E6%88%90%E6%9E%9C,,網路、筆戰、整理,,,,
9,17:40,V,weiting,ok,阿美語萌典,CC-BY,https://g0v.hackpad.com/Unconf-g0v-Summit-2016-tqNoHrM5xQc,https://amis.moedict.tw/#:tafa',萌典、阿美語、原住民,徵求前端、文字工、對萌典熟的工程師,,,
10,17:45,V,蔡文嘉,OK,itaigi,MIT / CC-BY 4.0,,,,,,,
11,17:50,V,Hsiao,OK,g0v FB 資料視覺化,CC BY 4.0,https://public.tableau.com/profile/hsiao2778#!/vizhome/g0v_FB_visualization_0618_0/g0v,https://public.tableau.com/profile/publish/g0v_FB_visualization_0618/g0v_1#!/publish-confirm,g0v,,,,
12,17:55,,,,,,,,,,,,
13,18:00,,,,,,,,,,,,
