,,,,,,,,,,
順序,預計發表時間,發表者,同意錄影以 CC-By 釋出？,主題,相關連結,專案的三個關鍵字,專案徵人,youtube url: 專案報告,youtube url: 成果報告,slides url
15,10:22:00,gene,,林克傳說,http://link.que.tw/,"新聞, 臉書","前端工程師, 智慧工人
",http://www.youtube.com/watch?v=Q5N0Bw0SJnI,,http://goo.gl/7KmCvL
16,10:25:00,jslee,,petneed.me,http://petneed.me/,12夜,新功能idea，實做高手,http://www.youtube.com/watch?v=GzBJjCiTtQI,,
17,10:28:00,james,,行政院發言還原,,資料、資料比對,,http://www.youtube.com/watch?v=WhB_jzsVefg,,
18,10:31:00,ETBlue,yes,文化部授權中心,http://hack.g0v.tw/meta/LoscL87LD2a,"自動化, CMS",前端工程師,http://www.youtube.com/watch?v=Hw6kbEbQSFQ,,
,,,yes,開源藝術示範區,http://hack.g0v.tw/meta/1qDnOBaoztH,"開源音樂, 開源美術, 傳教",插畫、編曲,,,
,,,yes,動民主家族,http://hack.g0v.tw/don-democracy/Ra62eyV02sC,世界奇觀之共用標籤系統,"各種可以當作 tag 的資料, airesis 架站資源",,,
,,截止,截止,截止,截止,,,,,
,,,,,,,,,,
,,,,,,,,,,
,-> 滿了請繼續往下填,,,,,,,,,
"14:00【8分鐘短講報名】
每個 present 6min，分享技術、議題、專案、研究皆可。1400後時間自訂。",,,,,,,,,,
順序,預計發表時間,發表者,同意錄影以 CC-By 釋出?,主題,相關連結,專案的三個關鍵字,專案徵人,,,
1,15:30:00,aokman,影片暫不公開,GOV<->G0V,,公務員、G0V、連接,,https://www.dropbox.com/s/56mewgubymqn5ip/G0V%20and%20GOV.ppt,,
2,14:30:00,nchild,,服貿與 g0v,http://bit.ly/1i9pe9F,,,http://www.youtube.com/watch?v=WNMQ8Sstbvo&list=PLdwQWxpS513AoDjPFD-RkMpDt8ihzA7Fz&index=2,,
3,14:00:00,ly,yes,codio,http://codio.com,"web, IDE, coding",,http://www.youtube.com/watch?v=A9URd_El20g&list=PLdwQWxpS513AoDjPFD-RkMpDt8ihzA7Fz&index=3,,
4,,,,,,,,,,
,本期開放四位,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"17:15【勞動基準 present project】 規則
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,
順序,預計發表時間,發表者,同意錄影以 CC-By 釋出?,主題,相關連結,,,,,
1,17:15:00,tkirby,,捷運房價,zbryikt.github.io/mrt/,"捷運,房價,視覺化",designer,,http://www.youtube.com/watch?v=jgwGD0INnzE&list=PLdwQWxpS513CyDrwhK2acRuKYHwz3pa-N&index=11,
2,17:20:00,bater,,選票成份分析,http://bater_chen.byethost7.com/beta/issue,,,,http://www.youtube.com/watch?v=5-V9SXU2O2Q&list=PLdwQWxpS513CyDrwhK2acRuKYHwz3pa-N&index=2,
3,17:25:00,ronny,,世界銀行x主計處,https://docs.google.com/document/d/13tdMhFaa4AOxPhoxpfmIuCtkybDHaf69bGzuDkX6vBk/edit,,,,http://www.youtube.com/watch?v=Mu-BAbtKKdQ&list=PLdwQWxpS513CyDrwhK2acRuKYHwz3pa-N&index=3,
4,17:30:00,kcliu,,demo 鄉民關心你最近的成果,"hack.g0v.tw/kuansim, demo page: kuansim.herokuapp.com ","社會議題追蹤, 大食團-driven 開發","UI Designer, Backend Engineer, Frontend Engineer",,http://www.youtube.com/watch?v=BP9jrh0SxvA&list=PLdwQWxpS513CyDrwhK2acRuKYHwz3pa-N&index=4,
5,17:35:00,嬋兒,,圖博資訊網站,,,,,http://www.youtube.com/watch?v=yAFFrw4QtsA&list=PLdwQWxpS513CyDrwhK2acRuKYHwz3pa-N&index=5,
6,17:40:00,,,,,,,,,
7,17:45:00,walkingice,,立法院網站,,,,,http://www.youtube.com/watch?v=Ok8H7cHt8Q4&list=PLdwQWxpS513CyDrwhK2acRuKYHwz3pa-N&index=6,
8,17:50:00,pm5,,環境儀表板,https://g0v.hackpad.com/0hiel5nA3Wm,,,,http://www.youtube.com/watch?v=JHeAHyzTciI&list=PLdwQWxpS513CyDrwhK2acRuKYHwz3pa-N&index=8,
9,17:55:00,wayne,,服貿開箱聞,https://moqups.com/wayne930242/HIYyFH7v/p:a61f01e21,"服貿協議, 文件資料化, 資料視覺化",會整合的工程師、資料人、手動整理人,http://youtu.be/SEaZvaoehAo,http://www.youtube.com/watch?v=Ce1DaAcwoIU&list=PLdwQWxpS513CyDrwhK2acRuKYHwz3pa-N&index=9,
10,18:00:00,team,,你被服貿了嗎?,https://g0v.hackpad.com/-g0v--SUkMbG4IV6v,服貿協議,,,"http://www.youtube.com/watch?v=ZZQUiYWrxQs&list=PLdwQWxpS513CyDrwhK2acRuKYHwz3pa-N&index=7, http://www.youtube.com/watch?v=ETQjwLtgCyw&list=PLdwQWxpS513CyDrwhK2acRuKYHwz3pa-N&index=10",
11,,anonymous,應講者要求，此段不錄影,,https://github.com/g0v/BadDriver.tw,"低調,低調,konami",,,,
