,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,9:40,,,,9,,,,,,,,
2,9:43,,,,,,,,,,,,
3,9:46,,,,,,,,,,,,
4,9:49,,Terix,y,小農X黑客 = 農客松,CC 0,,https://drive.google.com/file/d/0B5u8cSzbVq4WZ3BuZG4xSzJSWVU/view?usp=sharing,農委會、小農、黑客,想跟小農一起改變台灣農業的問題的跳坑人,,,
5,9:52,y,clkao,y,政府資訊預算大透視,MIT / CC BY,https://hackmd.io/EwMwDA7BCGAmIFoDGBOFwEBYDMBWDa0uCApttihAEYCMusYS0QA=,,政府、資訊預算,"坑主, 了解政府預算與採購者",,,
6,9:55,y,Yuren,y,勞基法計算機 - 變形工時實作,MIT,https://github.com/g0v/workweek/issues/20,https://github.com/g0v/workweek,"勞基法, 計算機, 工會","UX, Visual Design, 熟悉勞基法的人",,,
7,9:58,y,Allan,y,search-g0v,CC BY 4.0,,https://docs.google.com/presentation/d/1Z7WQoNbOXu4hJjbN5wIsVlZ5BFwOPUsyHZWSD-JWTL0/pub?start=false&loop=false&delayms=3000,,"Coder, Hacker, Designer",,,
8,10:01,y,ETBlue,y,假日工時知多少：法源補完,CC BY 4.0,https://g0v.hackpad.com/HwFox2AWCZf,https://docs.google.com/spreadsheets/d/19wkhjjGFkxtFuDK5R6e1mzmrrjxSV9n4jS0TOkfm3sc/edit?usp=sharing,"勞基法, 整理, 圖解",熟勞動法規的人，TXT 組,,,
9,10:04,y,Lafudoci,y,零時空汙觀測網,CC BY 4.0,https://g0v.hackpad.com/g0v--TexkKFNmqZP,http://airmap.g0v.asper.tw/,空氣汙染、物聯網、視覺化,前後端、照顧感測器,,,
10,10:07,y,nchild,y,一起蒸懶人包,CC BY-SA 4.0,http://g0v.hackpad.com/lazytogether,,,,,,
11,10:10,,Y.D Lin,y,看見思法: 戒護人力--矯正機關永遠的痛,CC BY 4.0,後補,http://vizjust.tw,司法統計、開放資料、尋找長期作戰夥伴,法律、法律、法律,,,
