hh,,,,,,,,,,,
順序,預計發表時間,發表者,已發表,主題,相關連結,專案的三個關鍵字,鄉民列表 id,專案徵人,youtube url: 專案報告,youtube url: 成果報告,slides url
13,10:16:00,bater,√,選票成分分析,https://www.facebook.com/VotesAnalysis?ref=hl,立委、立場、媒合計算,"bater, fntsrlike",PHP工程師、前端、設計師,https://www.youtube.com/watch?v=UslR_LLRSKE&list=PLdwQWxpS513CpK0Gs90ITLsnE3pY39GVv&index=11,,https://docs.google.com/presentation/d/13Lis9GEnOZGCe27Urc6v7ckuV7pG_7qd5yyr2WxaCEQ/edit#slide=id.g9528ca1f_035
14,10:19:00,cpyang,√,i64885,https://github.com/g0v/i64885,律師、集會遊行、事件追蹤,,facebook 整合,https://www.youtube.com/watch?v=UslR_LLRSKE&list=PLdwQWxpS513CpK0Gs90ITLsnE3pY39GVv&index=12,,https://docs.google.com/file/d/0B86OXa1Nkwf0S2VBZFJ5ZmN2Zms/edit?usp=sharing
15,10:22:00,spicycop,√,國會無雙,,國會、監督,,UX設計師 使用者經驗達人 美宣,https://www.youtube.com/watch?v=UslR_LLRSKE&list=PLdwQWxpS513CpK0Gs90ITLsnE3pY39GVv&index=13,,
16,10:25:00,Superbil,√,政府單位通訊錄,https://github.com/g0v/addressbook,政府機關、電話、E-mail,,"畫圖, 連連看達人",https://www.youtube.com/watch?v=UslR_LLRSKE&list=PLdwQWxpS513CpK0Gs90ITLsnE3pY39GVv&index=14,,
17,10:28:00,jslee,√,petneed.me,https://github.com/jsleetw/petneed.me,動物不會寫code但是主人會,,,https://www.youtube.com/watch?v=UslR_LLRSKE&list=PLdwQWxpS513CpK0Gs90ITLsnE3pY39GVv&index=15,,
,-> 滿了請繼續往下填,,,,,,,,,,
"14:00【6分鐘短講報名】
每個 present 6min，分享技術、議題、專案、研究皆可。1400後時間自訂。",,,,,,,,,,,
順序,預計發表時間,發表者,已發表,主題,相關連結,專案的三個關鍵字,鄉民列表 id,專案徵人,youtube url,,slides url
1,15:30:00,Michael LI,,新聞小幫手社群概要,https://registrano.com/events/2013newshelp01,革命、奮鬥、救新聞～！,,編輯小聚／第一次／10/26（六）,,,
2,,李慕約,,30 days of D3.js,http://muyueh.com/seeall/,Data Driven Document,,,,,
3,,kewang,,Typo Resolver,https://chrome.google.com/webstore/detail/kpmhpplainkjokabdbjkfdkohacblnlo,錯字、教育、語文,kewang,,,,http://www.slideshare.net/kewang/typo-resolver
4,,,,,,,,,,,
,本期開放四位,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"17:15【美麗島 present project】 規則
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,
順序,預計發表時間,發表者,已發表,主題,相關連結,,,,,,
1,17:15:00,clkao,,立院 player,,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=3,
2,17:20:00,bater,,選票成份分析alpha,http://bater_chen.byethost7.com/alpha,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=4,
3,17:25:00,superbil,,政府單位通訊錄,https://github.com/g0v/addressbook,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=5,
4,17:30:00,老蕭,,roadpin,http://106.187.101.193:3333,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=6,
5,17:35:00,嬋兒,,圖博資訊網站平台,https://tibet.hackpad.com/OKl2pookYrN,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=7,
6,17:40:00,au,,萌典,https://www.moedict.tw,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=8,
7,17:45:00,dylandy,,動民主,,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=9,
8,17:50:00,jeffhung,,g0v 人力資源部,https://github.com/g0v/e04,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=10,
9,17:55:00,ipa,,供稿庫,http://hack.g0v.tw/cwblog/,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=11,
10,18:00:00,kcliu,,鄉民關心你,https://github.com/g0v/kuansim,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=12,
11,18:05:00,jslee,,petneed.me,,,,,,https://www.youtube.com/watch?v=490TgJALJrc&list=PLdwQWxpS513C7NC00EtYvihy1ZijXuNPT&index=13,
