,,,,,,,,,,,,,
在想餒,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
13,10:16,v,MrOrz,yes,真的假的 - 查證轉傳訊息,MIT (code) / CC0 (content),謠言.大平台.tw,api.rumors.hacktabl.org,網路謠言、Chat bot、crowdsourcing,"跪求各種轉傳謠言。
txt 協助查證、網頁前端、elasticsearch 使用顧問",,,https://docs.google.com/presentation/d/1QTdEZFuaDaR-OA5BRL8svQLGTuAexyuzFtA2SsvuyaM/edit#slide=id.p
14,10:19,v,Ttcat,,g0v.news 執行計畫,CC-BY,https://g0v.hackpad.com/g0v.news--aXd55BN8hmk,https://docs.google.com/presentation/d/1lfdUeVnMDme-R_Lo8EXCs70VxMb6Ub7_HENH1GOkf4s/edit?usp=sharing,News nobody civictech,新聞專業、編輯、網站前端、設計,,,
15,10:22,v,劉李(night17x),,HackStory共筆時間軸,,https://g0v.hackpad.com/HackStory-6svktTYKVLb,https://docs.google.com/presentation/d/17chsTU6nYXHgtA03yz95kiE2ggmwkAgdrygiTXBqAwI/edit?usp=sharing,協作工具、時間軸,"Javascript, UI, UX",,,
,,v,莊銘彥,yes,iTaigi：家己的辭典家己編,,https://g0v.hackpad.com/moed7ct-taigi-neologism#iTaigi-,https://itaigi.tw/,台語、語音合成,,,,
,,,,,,,,,,,,,
,,,== 截止 ==,,,,,,,,,,
"14:30【8分鐘短講報名】
每個 present 8min，分享議題、專案、研究、技術皆可。",,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,,"Dr Fi-ti Fan
范發迪教授",,"Open Source, Open Science, and the Crowd
開放源碼，開放科學，與群眾",,,,,,,,
2,14:40,,,,,,,,,,,,
3,14:50,,"ttcat pm5, yutin",yes,OGP Summit Report,,,"https://www.icloud.com/keynote/0frDmts-EZNELDFre7Ta_F1uw#OPG16_for_g0v
https://pm5.github.io/talks/2016-12-17-OGP-hackathon/","OGP16, OpenGov",,,,
,,,,,,,,,,,,,
4,15:00,,chihao,yes,開放開放台北市政府--RFC,,,,,,,,
,,,,,,,,,,,,,
,本期開放4位8分鐘,,== 截止 ==,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,
1,17:00,v,ronny,yes,新聞小幫手國際化,BSD,https://g0v.hackpad.com/v76DaDdfUDl,https://newshelper.g0v.tw/?locale=en,"新聞小幫手,翻譯",翻譯 排版,,,
2,17:05,v,ronny,yes,立院議案資料結構化,BSD,,http://misq.ly.govapi.tw/,,,,,
3,17:10,,,,,,,,,,,,
4,17:15,v,MrOrz,yes,真的假的 - 查證轉傳訊息,MIT (code) / CC0 (content),謠言.大平台.tw,api.rumors.hacktabl.org,網路謠言、Chat bot、crowdsourcing,"跪求各種轉傳謠言。
txt 協助查證、網頁前端、elasticsearch 使用顧問",,,
5,17:20,,,,,,,,,,,,
6,17:25,,,,,,,,,,,,
7,17:30,v,clkao,yes,為什麼空格相關的專案都是一個問句呢？,MIT,TBD,(待審),空格、空格、空格,寫過 gdoc extension 的人,,,
8,17:35,v,wei-ting,yes,阿美語萌典,CC-BY,http://ppt.cc/rrnJg,https://amis.moedict.tw/#:ikaka,阿美語、萌典、原住民族,,,,
9,17:40,v,Glyn,yes,246歷史災害大平台,CC-BY,https://g0v.hackpad.com/sDRTfSlK9rs,https://goo.gl/CSY4SK,,,,,
10,17:45,v,ttcat,yes,g0v.news,CC-BY,,,,,,,
11,17:50,v,Michael_LI,yes,影音的逐字稿整理系統,討論後補上,https://newshackathon.hackpad.com/vnXJ3yAaqdI,（左邊的鏈接有投影片與解說錄影）,平台，大平台，大大的平台,看影片聽打文字的人，資料庫，前端（含 web 設計師 ）,,,
12,17:55,v,劉李 (night17x),yes,HackStory共筆時間軸,MIT / CC-BY,https://g0v.hackpad.com/HackStory-6svktTYKVLb,,時間軸、協作工具,,,,
13,18:00,,,,,,,,,,,,
