,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,9:40,,小班,Y,g0v 獎助金,cc0,,https://docs.google.com/presentation/d/1olUiB9WBtH_JQXYTH2lX62SBNqxSEMpAstSMI2RrIxc/edit#slide=id.g207df311e5_1_167,,,,,
2,9:43,,,,,,,,,,,,
3,9:46,,,,,,,,,,,,
4,9:49,,,,,,,,,,,,
5,9:52,,,,,,,,,,,,
6,9:55,,,,,,,,,,,,
7,9:58,,Ronny,Y,政府網站顯示標案資訊和承包廠商,CC0,https://g0v.hackpad.com/a0wv4LdHpwx,https://docs.google.com/presentation/d/1iURW9_xoqFVozjWMXHUXv23NAkDy4X0XuhZo-1Qmhi8/edit#slide=id.g23b1f327ef_0_0,標案 / 開放 / join,,,,
8,10:01,,weiting,Y,阿美語萌典,cc-by,http://beta.hackfoldr.org/11BRa7Ftnni8Q1NRdjwS378BgBz832UY4uIr-d0J0YpM/https%253A%252F%252Fhackmd.io%252Fs%252FHJJeu08Al,https://docs.google.com/presentation/d/1yWW3ELQhQ7UgSeIBh5KDwJ4DpUr-C21s5q-1a1MxWqM/edit#slide=id.g2189fb8b12_0_28,阿美語萌典、原住民族、寫作,對原住民族文化有興趣的人,,,
9,10:04,,Jane 汪,,Build Great Bridges Around Taiwan (BGBAT),,,http://tinyurl.com/bgbatpdfjune,吸引留住「國際觀」人才 ／ 跨領域合作 ／ 讓台灣變更好,"Social innovation, int'l business, intercultural training, sociology, int'l affairs, counseling psych, coaching & facilitation.",,,
10,10:07,,上官,Y,吳守禮辭典,,,,,,,,
11,10:10,,johnny,Y,如果你是議員候選人,CC0,,https://councils.g0v.tw/candidates/intent_home/,,看膩一成不變的政見的人,,,
12,10:13,,Stefan Simon,"N
(prefer audio only)",Foodsharing Taiwan - foodsharing tool,MIT (frontend) & GNU-AGPL 3.0(backend),"https://foodsharing.world/, https://www.facebook.com/foodsharingtaiwan/",,"Website, app, sharing","developers, programmer, software engineer, coder (javascript & python)",,,
