,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,V,陳振宇,ok,歷史土砂災害照片時間軸地圖,CC BY 4.0,,http://246.swcb.gov.tw/event2015,"歷史災害, 照片, 土石流","爬資料, 地圖, 視覺化處理",,,
2,14:45,V,a0kman,OK,SPIKES-ASIA,,,,SPIKES、松,,https://www.youtube.com/watch?v=2woIok8_Qsc,,
3,14:54,V,雨蒼,ok,司法院Open data計畫,CC BY 4.0,https://g0v.hackpad.com/Open-Data-BHRG3oHic6r,https://docs.google.com/presentation/d/1uggezcAaA4uhS6JNzqfngK0LSarKMhUUv8ZZrmMJqDE/pub?start=false&loop=false&delayms=3000,司法、Opendata,提供意見,,,
4,,V,Lukas ,ok,怦然心動的交通整頓魔法,,以後補  囧,,"交通檢舉, 違規熱點, 自動化",提供意見,https://www.youtube.com/watch?v=p7n5ZqS2LEY,,
,本期開放4位8分鐘,,==== 截止 ====,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"10/24 17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,
1,17:00,V,柏瑜,ok,G0V x 柏瑜 新政治小計劃,CC BY 4.0,https://hackpad.com/G0V-x--9wcGRFSjctY,https://hackpad.com/G0V-x--9wcGRFSjctY,新政治 青年 分享,,,,
2,17:05,V,MrOrz (Johnson),ok,2016 總統大選承諾一覽表,程式 MIT / 承諾資料 CC BY 4.0,http://beta.hackfoldr.org/president2016-folder,http://hacktabl.org/president2016,"總統大選, 選舉承諾, 表格 UX design","新聞, 政治, UI / UX",,,
3,17:10,V,If,yes,救救臺灣龜,程式 MIT / CC BY-NC 4.0,"https://g0v.hackpad.com/tFDaeOtsSbU
https://hackfoldr.org/turtle-cuora", http://g0v.github.io/turtle-tw/,食蛇龜、生態、修法,,,,
4,17:15,V,Chewei,yes,"1.從地名看災害 Hazard x Placename
2.台灣社區報時間地圖 Local Zine and Alternative Publishing",CC BY 4.0,"地名｜https://g0v.hackpad.com/-hazard-x-placename-4rF7N2Ihf5r
社區報｜https://g0v.hackpad.com/9f1Mxdr8hzR",,"地名, 災害, 文獻材料
社區報, 地方刊物 ","災害史, 地名學, 資料庫
社區營造史, 社區報, 資料庫",,https://www.youtube.com/watch?v=ScLXIw1dsxI,"https://goo.gl/0dTDuv
"
5,17:20,V,jackycute,yes,BigLaw 開放法律判決智慧搜尋系統,BSD / CC BY 4.0,https://hackmd.io/MYVgjATApgDARgMwLQTgQ2EgLAdimJOATgBMAOQgNiJhwQhhODJKAA==,http://biglaw.tw,"法律, 裁判書, 搜尋",,,https://www.youtube.com/watch?v=eLpyAH_-M2U,https://hackmd.io/s/NkyjgG4We
6,17:25,,,,,,,,,,,,
7,17:30,,,,,,,,,,,,
8,17:35,,,,,,,,,,,,
9,17:40,V, ETblue,yes,g0v band,CC BY / MPL,https://g0v.hackpad.com/g0v-band-hackath16n-ksq5lc1w2AB,https://blend.io/etblue/ocean,,打譜 / 團員,,,
10,17:45,V,plate,yes,共享路平,CC BY / MIT,,https://www.dropbox.com/s/idwzvdbq4b0l8ob/loopin.pptx?dl=0,,,,,
11,17:50,V,chihao,yes,g0v@台北數位藝術節,CC BY 4.0,http://beta.hackfoldr.org/%E7%9C%BE%E5%BF%97%E6%88%90%E5%9F%8E/hackath16n-AhBaJJ6GX6V,,,,,https://www.youtube.com/watch?v=yCkrn5IQxFc,
12,17:55,,Peggy,yes,公務員開放資料Lesson1,CC BY 4.0,https://hackpad.com/Lesson-1-ver1.0-XdDvvmJJ6Zf,,,,,https://www.youtube.com/watch?v=JIiRnbgpH70,
13,18:00,,Muyueh,yes,開放資料部會大PK,gpl v2,https://github.com/sheethub/webtable,http://muyueh.com/30/webtable/stats.html,,,,,
,,, ,,,,,,,,,,
