,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,相關連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
09:40【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,
1,9:40,v,clkao,OK,國際社群參與協力團,CC0,https://g0v.hackpad.com/ieiIzaSfOWu,,,http://youtu.be/vC14ToV6P3s,,
2,9:43,v,tkirby,OK,自己的活動自己拍,depends,http://g0v.photos,"攝影,紀錄",所有人,http://youtu.be/dfkzyKUkUM0,,
3,9:46,v,Afeyhsu,OK,公有地大行動,CC0,https://hackpad.com/MOFQWOWvtbY,"公有地,變賣現況,地圖","資料庫,網站",http://youtu.be/d37pfrBnKpY,,http://www.slideshare.net/MikLiu/20140621
4,9:49,v,Lee,OK,inLiveTW,CC0,http://hackfoldr.org/inLiveTW/oVQouJIUgA0,"直播, inLiveTW","文字, 鄉民, 前端, 後端",http://youtu.be/tV8eoT2H6OY,,http://goo.gl/A7ppM3
5,9:52,v,johnny,OK,議員投票指南,CC0,https://g0v.hackpad.com/KjfdRZ08FZ3,,,,,
6,9:55,v,yhsiang,OK,politwoops.tw,"CC0, MIT",https://g0v.hackpad.com/politwoops.tw-TMZxxNandPs,"立委, 監督",前端,http://youtu.be/lLRq7pwcFIo,,http://www.slideshare.net/lanfon/politwoopstw-36122309
7,9:58,v,miaoski,OK,太陽花盒子之 ChromeCast,Apache 2,https://github.com/miaoski/inLiveTwTextChrome,"直播, inLiveTw",前端,http://youtu.be/Jn8U82fi_Dc,,
8,10:01,v,Rhozan,OK,全民除黴計畫 APP4AM,未定，傾向開放,https://g0v.hackpad.com/APP4AM--YGd0FvMp9Vr,"全民除黴計畫,APP,媒體監督與改革","前端,APP,資料庫端，文案，公關及其他",http://youtu.be/XcurCKVEnuM,,http://prezi.com/87ugn3no80yt/app4am/
9,10:04,v,MrOrz,OK,自經區正反意見比較表,"協做表格文本 CC-BY-SA, GFDL",https://g0v.hackpad.com/iTm0MWa9h4s,"比較表, prototype, UX design","文字, 對自經區議題熟悉, 新聞專業",http://youtu.be/Z5gg2Adg9V0,,https://speakerdeck.com/mrorz/g0v-hackath9n-ti-an-zi-jing-qu-zheng-fan-yi-jian-bi-jiao-biao
10,10:07,v,Shihta,OK,輻射地圖APP,程式LGPL,https://g0v.hackpad.com/91ZImrFjGvx,"輻射,地圖,app","Android, PHP",http://youtu.be/e4kTIo7yIF4,,http://www.slideshare.net/celineliang/app-36096725
11,10:10,v,simonpai,OK,超農域,CC0,http://hack.g0v.tw/agriculture/8Hlh2hux8xg,超農域,,http://youtu.be/gx-D7lXMhMA,,http://slides.com/simonpai/185845
12,10:13,v,bater,OK,選票成分分析,CC0,https://github.com/g0v/congress-vote-analytics,選舉、偏好分析,PHP、laravel,http://youtu.be/SrY6D_K5av8,,http://slides.com/bater/va
13,10:16,v,NewCliCker,OK,第五權電視牆監看「評」台G8V.tv,"CC0, MIT",http://hackfoldr.org/G8VTV/http%253A%252F%252Fi.imgur.com%252F2napF5z.jpg,電視牆、公民記者協作、媒體識讀,前端、以及任何有興趣想給意見的人,http://youtu.be/w92M1mYiwDM,,https://docs.google.com/presentation/d/1LmZUgPxnhNFsEprtOi2NOpsJthCQjj4HI0mVWiBDlas/edit?usp=sharing
14,10:19,v,jimmy,OK,data.g0v.tw ng,GNU GPL v2,https://g0v.hackpad.com/Data.g0v.tw-ng-LA2MpOEjraI,opendata,文字組或資料蒐集、設計師,http://youtu.be/z9ytWOzNIn8,,
