,,,,,,,,,,,,,,
 ,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
9,10:04,v,mrorz,y,Cofacts 真的假的,功德+4,Code: MIT / Data: CC0,beta.hackfoldr.org/cofacts,cofacts.g0v.tw,"Fact-checking, crowd-sourcing, chatbot","編輯：會上網查證的人
程式：Node.JS, React.JS
玩資料：elasticsearch
設計：UX、LINE bot 使用者",,,https://docs.google.com/presentation/d/1SjzHqt39wjtoYXPM9ueosVdyMJfyEnN37K7RUDeBpI4/edit?usp=sharing
10,10:07,v,chihao,y,開放參與好朋友,,每次聚會的紀錄以CC-BY釋出，每個專案的授權由專案參與者決定,https://g0v.hackpad.tw/SwMzsJHYror,,小松,開放、參與相關，正在填坑、想要挖坑、想被推坑的人,,,
11,10:10,v,ael,y,中央助聽器：千千傾聽，萬人協作科技政策白皮書,,MIT,http://beta.hackfoldr.org/GGV,http://via.kuansim.org/ ; https://docs.google.com/presentation/d/1hSdf1QnPwAjcRzaWuE62O0HTCD8tQIyvehFVtUJRUP0/edit?usp=sharing,線上公民審議,工程師、行銷、公民審議工作者、任何有興趣的公民、對政府開會很煩的人,,,https://docs.google.com/presentation/d/1hSdf1QnPwAjcRzaWuE62O0HTCD8tQIyvehFVtUJRUP0/edit?usp=sharing
12,10:13,v,johnny,Y,參與開放立法專案送T-shirt,,CC0,ix,https://councils.g0v.tw/,開放立法、開放國會、議員投票指南,,,,
13,10:16,v,ipa,Y,g0v Summit 2018 啟動 & 會議 APP 開發,功德+1,cc-by,http://beta.hackfoldr.org/g0v-summit2018,bit.ly/2018-ken,,,,,
14,10:19,v,hc,Y,政治獻金開放,,"code: MIT
data: ?",,,,,,,
15,10:22,v,Ttcat,Y,g0v Shadow ,,MIT,https://g0v.hackpad.tw/g0v-shadow-ta138sdLdND,螢幕壞了做不了投影片崩潰,g0v、shadow website、大平台,有正常螢幕電腦的人、工程師、UI、設計,,,
16,10:25,v,TypingMonkey,Y,Open Source Guide 翻譯坑 ,,MIT,https://g0v.hackpad.tw/g0v-shadow-ta138sdLdND,https://felixshai.github.io/open-source-guide/,"open source, guide, 翻譯",會英文的人即可,,,
17,10:28,v,chewei,y,板橋新民街區公有宿舍群 / 盤點群眾規劃工具 / 北市府公有資產網頁,,cc-by,"板橋新民街關注者社團：https://www.facebook.com/groups/291147378066665/
電腦輔助空間分析及規劃設計探討素材頁面：https://goo.gl/p7KsVv 
北市府公有資產網頁：http://taitung-fan-182028.middle2.me/",https://goo.gl/Rkmspd,公有建物、戰後住宅、空間願景協議工具,有興趣者都歡迎,,,https://goo.gl/Rkmspd
18,10:31,v,Patt,Y,農業創新黑客松,,MIT,http://www.farmhackathon.tw/,,農業、科技、智慧農業,不限領域、年齡，歡迎具研究、設計、管理、傳播、工程、資訊等各類專才踴躍報名。,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,== 截止 ==,,,,,,,,,,,
14:30【g0v 獎助金期中報告】每組 present 5 min （本期又不開放短講）,,,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,,g0v grant 期中報告,Y,YA0H: Yet Another g0v Hub,,,,http://kinmen-tao-884344.middle2.me/logbot/g0v.tw/2017-11-23,"ProjectHub, 基礎建設, JavaScript",,,,
2,14:35,,g0v grant 期中報告,Y,Taiwan Watch: 美國國會台灣觀測站,,,,https://dev.taiwanwatch.org,"台美關係, 法案追蹤, AWS",前端工程師，對美國國會及政治有研究興趣者，英文法案翻譯,,,
3,14:40,,g0v grant 期中報告,,foodsharing.tw,,,,"http://www.foodsharing.tw , http://hwww.facebook.com/foodsharingtaiwan","frontend: VueJS, backend:Django",,,,
4,14:45,,g0v grant 期中報告,Y,LostSAR-搜救,,,https://goo.gl/HJ6A3w,https://goo.gl/H4SEQb,,,,,
5,14:50,,g0v grant 期中報告,Ｙ,阿龜誌,,,https://hackmd.io/c/SJDEFqE_e/https%3A%2F%2Fhackmd.io%2Fs%2FHyzVcCucW,https://drive.google.com/open?id=1hDCCUyleJ_LKdLpr3tky3sikIi9b9dcN,"微氣候資料科學, 田間紀錄, 農業科技","小編
計畫整理
資料預處理
下田弄現場的硬漢
願意把手弄髒的朋友們
",,,
6,14:55,,g0v grant 期中報告,,台灣企業集團母子公司關係與環境社會責任,,,,https://drive.google.com/open?id=1sV0J_EbT330w82nZRSrUSO5V4Oei1uji,,,,,
,,,,,,,,,,,,,,
,本期不開放短講,,== 截止 ==,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,,
1,17:00,v,wumini/KT,,g0v.news邀請你,,CC by,https://docs.google.com/presentation/d/16Z_2p10UqeIxgIUHqY3K6qE60o-ogBv78Ed1Y4MJbmU/edit?usp=sharing,,,,,,
2,17:05,v,yutin,,請讓我認識你,,MIT,https://github.com/g0v/g0ver-box,,,,,,
