,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
09:30開場，09:40提案開始【3分鐘提案報名】每個 present 3min，提案、徵人。,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,9:40,v,au,yes,Hackfoldr @ PDIS.tw,CC0,https://github.com/PDIS/web/issues/1,http://www.slideshare.net/autang/hackfoldr-pdistw,公務員、數位創新、共筆空間,"logo 設計, 公務系統規劃, hackfoldr 協作",https://youtu.be/8WnTgW9eyM4,,https://g0v.hackpad.com/Hackfoldr-IYApEmPmPI7
2,9:43,v,chewei,yes,開放都市計畫-南港區都市計畫通盤檢討,CC BY 4.0,https://g0v.hackpad.com/--hzxdTtdG3QU,https://goo.gl/LpHLpY,"都市計畫, 南港, 書圖資料","txt, 資料視覺化, 南港生活者",https://youtu.be/C9cGIrSpQLI,,https://goo.gl/LpHLpY
3,9:46,v,tkirby,yes,g0v Project Hub,MIT,https://hackmd.io/EYDgzAbArALAxgJgLQFMAMMZJlCEkCGBKcSYCUcAJsFVQJxxwpA=,http://github.com/g0v-data/registry,"基礎建設, 人坑松, 協作","txt, designer, developer",https://youtu.be/sNx51AdUDxM,,
4,9:49,v,雨蒼,yes,你想要怎樣的黨產資料網站？,政府資料開放授權條款,https://g0v.hackpad.com/xpvderSMBSU,https://docs.google.com/presentation/d/1dIzsSvniD8vh9j6jYRuAwX6yCwqnfSb3ZuST4WAzv-A/pub?start=false&loop=false&delayms=3000,API、資料集,網站架構、資料視覺化、介面設計師,https://youtu.be/XCsKIJ3kphg,,
5,9:52,v,clkao,yes,g0v Budget Reboot,MIT,http://beta.hackfoldr.org/open-budget,,,"會計, 前端",https://youtu.be/w4X4Eqq83Ug,,
6,9:55,v,偉尼基,yes,第一次參與式預算就苦手-舊莊茶點燃計畫,CC BY 4.0,http://ngdo.gov.taipei/public/Attachment/67251713036.pdf,https://goo.gl/Tf6OI2,參與式預算、社區營造、產業再生,設計，社區營造經驗，文字類人員,https://youtu.be/oRNWT64L2hk,,
  ,9:58,v,蕭A,yes,散落在世界的國家寶藏,MIT,https://g0vus.hackpad.com/G0VNYC--LHg8jvQVJIj,,,,https://youtu.be/WO8C8T7K-38,,
8,10:01,v,魚凱,yes,公務之聲,CC BY 4.0,https://hackpad.com/8B8dlXJSNax,https://youtu.be/tAx645Bx5AU,公務員、想想公僕、由下而上改造政府,"1.願意接受需求訪談的公務員
2.幫忙釐清要開發出什麼東西才合用的大大
3.再依要開發出什麼東西來徵技術高手",https://youtu.be/h3Fw6BHOhZg,,
