,,,,,,,,,,,,,
,發表時間,完成,發表者,錄影以 CC-BY 釋出？,主題,專案授權,共筆／討論連結,目前成果／投影片連結,專案三個關鍵字,專案徵人（專長）,youtube url: 專案報告,youtube url: 成果報告,slides url
9,10:04,v,Hank,yes,愛台語 itaigi.tw,MIT,https://g0v.hackpad.com/moed7ct-taigi-neologism#iTaigi-,http://itaigi.tw/,"台語, 辭典, 自己編","前端, 網站宣傳, 貢獻講法",https://youtu.be/73Sv2ZHWhtY,,
10,10:07,v,書漾,yes,vTaiwan 改版,CC BY 4.0,https://g0v.hackpad.com/H2QhNRFVMOw,https://github.com/g0v/vue.vtaiwan.tw,vTaiwan、網站、改版,,https://youtu.be/GdwiNzNUTZg,,
11,10:10,v,黃郁仁,Yes,臺灣百景消逝,,https://g0v.hackpad.com/MybKptjGvDL,https://docs.google.com/presentation/d/1iKW4JMIXptfE50Dk8oenCLg6_0kcYYKXIxXxtaVrEdE/edit#slide=id.p35,文化資產、鍵盤參與、百景消逝,我覺得我好像什麼都不會QQ,https://youtu.be/yKsHbsiK_GQ,,
12,10:13,v,MrOrz / johnson,yes,真的假的 Line bot,MIT,http://beta.hackfoldr.org/rumors,https://github.com/MrOrz/rumors-line-bot,"Line, 謠言, lmgtfy",文案、NLP,https://youtu.be/uFQuyCvm5ng,,
13,10:16,v,Bobby Tung,Yes,Emoji再來一次之送素還真進Unicode,CC0,https://g0v.hackpad.com/Emoji-YPkxkHyGz97,https://docs.google.com/spreadsheets/d/1GHA0iy-OJsQ9BBiJXtffkCLjFbScYyVffrzQvmGs-wk/edit#gid=0,"Unicode, Emoji, Culture",插畫 / 英語專長 / 耐煩者,https://youtu.be/XnB1DUAgWlU,,http://www.slideshare.net/bobby3302/emojiunicode
14,10:19,v,Y.D. Lin,Yes, 看見思法 - 屬於人民的司法視覺資料庫,CC0,https://g0v.hackpad.com/--LHL3rG6YM5F,https://docs.google.com/spreadsheets/d/1dN04G0y3tZwBBiindOUL_hy5W8ZsQ4FCrFflRtfr8Os/edit#gid=0,看見思法、特偵組、PyCon,資料收集,https://youtu.be/xUnfinW6o_g,,
15,10:22,v,吳政璋,Yes,鄉民風水師,GPL 3.0,https://g0v.hackpad.com/-0.1.0-for-Android-0zZtHOsh7DJ,https://play.google.com/store/apps/details?id=tacoball.com.geomancer,勞基法、凶宅、開放街圖,美術、試算表 (LibreOffice Calc),https://youtu.be/fcrIuD0aXIw,,
16,10：25,v,蔡念儒,yes,原住民數位博物館網站大改造,,https://g0v.hackpad.com/ezmmu2aN5oD,http://www.dmtip.gov.tw/,原住民、資料開放、文化資源,網站架構、資料庫、資料視覺化、原住民文化興趣者、博物館興趣者,https://youtu.be/RvyT9b-WYKA,,
17,,,,,,,,,,,,,
,,,== 截止 ==,,,,,,,,,,
"14:30【8分鐘短講報名】
每個 present 8min，分享議題、專案、研究、技術皆可。",,,,,,,,,,,,,
順序,發表時間（自填）,完成,發表者,錄影以 CC-BY 釋出?,主題,,,相關連結,三個關鍵字,專案徵人,,,
1,14:30,,YuTin,YES,GraphQL,BSD,http://graphql.org/,https://github.com/g0v/hub,data query,,https://youtu.be/sGXRQuhVUMM,,
2,14:40,,蕭A,yes,g0v 紐約社群,,https://www.facebook.com/g0vus/,,"New York, g0v, hackathon",,https://youtu.be/veC2JvFQu5E,,
3,14:50,,tkirby,yes,Hacks Hackers Taipei,,http://hackshackers.taipei,,"journalism,technology,innovation",,https://youtu.be/jw9q6GFVXY8,,
4,15:00,,ipa,yes,g0v jothon Prototype Grant,,https://docs.google.com/document/d/1IbCEQbV-hR6o4e984XUXtxotIJoaDFsW-wuTSEUpdUs/edit,,"g0v, open source, grant",,https://youtu.be/BC2X8ShMdJ0,,
,特別加映,,Max Ogden,,TBD,,,,,,https://youtu.be/waSIgriDgSw,,
,本期開放4位8分鐘,,== 截止 ==,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"17:00【 present project】 規則：於106-7會議室舉行
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,,,,,,,
1,17:00,v,Julia,,,,,,,,https://youtu.be/z9RUAsPn16s,,
2,17:05,v,MrOrz,Ｙ,真的假的 Line bot,MIT,http://beta.hackfoldr.org/rumors,http://beta.hackfoldr.org/rumors,,,https://youtu.be/7ncO9d-l9r0,,
3,17:10,v,YuTin,Y,hello! g0ver,MIT,,https://github.com/g0v/slack-bot,,,https://youtu.be/429WluStIKY,,
4,17:15,v,Fumi,,立委咖電喂,CC By 4.0,http://beta.hackfoldr.org/callliwei,http://callliwei.hopto.org/,立委聯繫資料,,https://youtu.be/BqVOo-nq4ks,,
5,17:20,v,mg,,臺灣原住民數位博物館,CC By 4.0,https://g0v.hackpad.com/ezmmu2aN5oD,,,,https://youtu.be/jm6lieXJeYU,,
6,17:25,v,cellvin,,國家寶藏,MIT,https://g0vus.hackpad.com/LHg8jvQVJIj,,,,https://youtu.be/wG6GWJETjjw,,
7,17:30,v,chewei,,通檢讀書心得與空地改造行動,CC By 4.0,"都市計畫通檢：https://g0v.hackpad.com/--hzxdTtdG3QU
公有空地改造：https://www.facebook.com/events/1771324913122583/",https://goo.gl/LpHLpY,都市計畫、公有地,,https://youtu.be/gobH-Av5fL0,,
8,17:35,v,Hank,yes,愛台語 itaigi.tw,MIT,https://g0v.hackpad.com/moed7ct-taigi-neologism#iTaigi-,http://itaigi.tw/,,,https://youtu.be/eLw6HgCeuOQ,,
9,17:40,v,clkao,yes,g0v Budget Reboot,MIT,http://beta.hackfoldr.org/open-budget,,,,https://youtu.be/KOeb3boFHw8,,
10,17:45,v,書漾 (Shu),,vTaiwan改版,,https://g0v.hackpad.com/ep/profile/vuj5N8pV6UZ,,,,https://youtu.be/yeAwsORQ2Ec,,
11,17:50,v,ttcat,yes,hack.g0v.tw 捐款頁統整,,,,,,https://youtu.be/5VsD191CL8Q,,
12,17:55,v,tkirby,yes,g0v project hub,MIT,https://hackmd.io/EYDgzAbArALAxgJgLQFMAMMZJlCEkCGBKcSYCUcAJsFVQJxxwpA=?both,,,,https://youtu.be/RdsrSisuB14,,
13,18:00,,,,,,,,,,,,
